Citance Number: 1 | Reference Article:  P07-1096.txt | Citing Article:  P08-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For our POS tagging experiments, we used the Wall Street Journal in PTB III (Marcus et al, 1994) with the same data split as used in (Shen et al., 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We carry out experiments on the standard data set of the Penn Treebank (PTB) (Marcus et al., 1994).</S><S sid = NA ssid = NA>It obtains an error rate of 2.67% on the standard PTB test set, which represents 3.3% relative error reduction over the previous best result (Toutanova et al., 2003) on the same data set, while using fewer features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1096.txt | Citing Article:  P08-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In POS tagging, the previous best performance was reported by (Shen et al, 2007) as summarized in Table 7.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Toutanova et al. (2003) reported a POS tagger based on cyclic dependency network.</S><S sid = NA ssid = NA>Compared to previous best result on the same data set, 2.76% by (Toutanova et al., 2003), our best result shows a relative error reduction of 3.3%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1096.txt | Citing Article:  P14-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Feature templates are shown in Table 3, which are based on those of Ratnaparkhi (1996) and Shen et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Following (Ratnaparkhi,1996; Collins, 2002; Toutanova et al., 2003; Tsuruoka and Tsujii, 2005), we cut the PTB into the training, development and test sets as shown in Table 1.</S><S sid = NA ssid = NA>With set B, we include a few feature templates which are symmetric to those in Ratnaparkhi’s set, but are only available with bidirectional search.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1096.txt | Citing Article:  P12-2072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the experimental evaluations we use the Bidirectional Tagger with Guided Learning presented in Shen et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Guided Learning for Bidirectional Sequence Classification</S><S sid = NA ssid = NA>In this paper, we propose guided learning, a new learning framework for bidirectional sequence classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-1096.txt | Citing Article:  S10-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the implementation, we used bpos (Shen et al., 2007) for the POS tagging.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We apply our guided learning algorithm to POS tagging.</S><S sid = NA ssid = NA>We apply this novel algorithm to POS tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


