Citance Number: 1 | Reference Article:  P05-1066.txt | Citing Article:  W05-0820.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B: at that time was clear that we actually enlargement within the framework able to cope with the eu budget, the drawn.</S><S sid = NA ssid = NA>In summary, phrase-based systems have relatively limited potential to model word-order differences between different languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1066.txt | Citing Article:  C08-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B: at that time was clear that we actually enlargement within the framework able to cope with the eu budget, the drawn.</S><S sid = NA ssid = NA>In summary, phrase-based systems have relatively limited potential to model word-order differences between different languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1066.txt | Citing Article:  D09-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This result was found to be significant (p= 0.021) under the paired bootstrap resampling method of Koehn (2004), and is close to significant (p= 0.058) under the sign test of Collins et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Reranking methods have also been proposed as a method for using syntactic information (Koehn and Knight, 2003; Och et al., 2004; Shen et al., 2004).</S><S sid = NA ssid = NA>Results using the method show an improvement from 25.2% Bleu score to 26.8% Bleu score (a statistically significant improvement), using a phrase-based system (Koehn et al., 2003) which has been shown in the past to be a highly competitive SMT system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1066.txt | Citing Article:  P11-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our best performing method used unsupervised morphology with L-match (see Section 2.2) and the improvement is significant: bootstrap resampling provides a confidence margin of 0.77 and a t-test (Collins et al, 2005) showed significance with p= 0.001.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used the sign test (e.g., see page 166 of (Lehmann, 1986)) to test the statistical significance of our results.</S><S sid = NA ssid = NA>Results using the method show an improvement from 25.2% Bleu score to 26.8% Bleu score (a statistically significant improvement), using a phrase-based system (Koehn et al., 2003) which has been shown in the past to be a highly competitive SMT system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1066.txt | Citing Article:  P10-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B: at that time was clear that we actually enlargement within the framework able to cope with the eu budget, the drawn.</S><S sid = NA ssid = NA>In summary, phrase-based systems have relatively limited potential to model word-order differences between different languages.</S> | Discourse Facet:  NA | Annotator: Automatic


