Citance Number: 1 | Reference Article:  N03-1022.txt | Citing Article:  N06-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A third approach, exemplified by Moldovan et al (2003) and Raina et al (2005), is to translate dependency parses into neo-Davidsonian-style quasi logical forms, and to perform weighted abductive theorem proving in the tradition of (Hobbs et al, 1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Taking the same approach as for open text, we have parsed and represented in logic forms more than 50,000 WordNet glosses.</S><S sid = NA ssid = NA>The approach is to transform questions and answer passages into logic representations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N03-1022.txt | Citing Article:  N06-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The two models become distinct when there is a good supply of additional linguistic and world knowledge axioms - as in Moldovan et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In additions to world knowledge axioms, a QA Logic Prover needs linguistic knowledge.</S><S sid = NA ssid = NA>World knowledge axioms as well as linguistic axioms are supplied to the prover which renders a deep understanding of the relationship between question text and answer text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N03-1022.txt | Citing Article:  W05-1625.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most of existing systems on the web produce a set of answers to a question in the form of hyper links or page extracts, ranked according to a relevance score (for example, COGEX [Moldovan et al, 2003]).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When all the candidate answers are processed, the candidate answers are ranked based on their proof scores, with the output from COGEX being the ranked answers and the answer justifications.</S><S sid = NA ssid = NA>COGEX will continue trying to find a proof until the Set of Support becomes empty, a refutation is found, or the proof score drops below a predefined threshold.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N03-1022.txt | Citing Article:  P06-2105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our system uses COGEX (Moldovan et al, 2003), a natural language prover originating from OT TER (McCune, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>COGEX: A Logic Prover For Question Answering</S><S sid = NA ssid = NA>Thus, some questions are answered by the QA system without the prover, some only by the prover and some by both the non-prover system and the prover.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N03-1022.txt | Citing Article:  H05-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This assumption, also made by other recent abductive approaches (Moldovanetal., 2003), does not hold for several classes of examples.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We call these NLP axioms and present below some examples together with questions that call them.</S><S sid = NA ssid = NA>An axiom is built to connect by to the possessive: Equivalence classes for prepositions Prepositions can be grouped into equivalence classes depending on the context of the question, which is determined by the expected answer type.</S> | Discourse Facet:  NA | Annotator: Automatic


