Citance Number: 1 | Reference Article:  J08-2002.txt | Citing Article:  D09-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Toutanova et al (2008) presented a re-ranking model to jointly learn the semantic roles of multiple constituents in the SRL task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S><S sid = NA ssid = NA>As discussed in Section 3, multiple constituents can be part of the same semantic argument as specified by Propbank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J08-2002.txt | Citing Article:  W11-0327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also compare with the multi parse system of (Toutanova et al, 2008) which uses a global joint model using multiple parse trees.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Promising approaches have been to consider multiple syntactic analyses—the top k parses from a single or multiple full parsers (Punyakanok, Roth, and Yih 2005), or a shallow parse and a full parse (M`arquez et al. 2005; Pradhan et al.</S><S sid = NA ssid = NA>We evaluate the gains from incorporating this joint information on the Propbank corpus, when using correct syntactic parse trees as input, and when using automatically derived parse trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J08-2002.txt | Citing Article:  W11-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Consider the following examples, due to Toutanova et al (2008): (3) [Temporal The day] that [arg0 the ogre] [Predicate cooked] [arg1 the children] is still remembered.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Consider: (4) The meal that the ogre cooked the children is still remembered.</S><S sid = NA ssid = NA>Some researchers (Pradhan et al. 2004; Punyakanok et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J08-2002.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The complex SRL architectures proposed (usually combining local and global, i.e. joint, models of argument classification, e.g. (Toutanova et al., 2008)) require a large number of annotated examples.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Toutanova, Haghighi, and Manning A Global Joint Model for SRL labelings shown in Figure 2(c).</S><S sid = NA ssid = NA>Other methods have also been proposed, as we discussed in Section 2 (M`arquez et al. 2005; Pradhan, Ward et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J08-2002.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most of the CoNLL 2005 systems show a significant performance drop when the tested corpus, i.e. Brown, differs from the training one (i.e. Wall Street Journal), e.g. (Toutanova et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The other test set is from the Brown corpus (Test Brown).</S><S sid = NA ssid = NA>However, this is not impossible and systems which are more robust to parser error have been proposed (Pradhan et al. 2005; M`arquez et al.</S> | Discourse Facet:  NA | Annotator: Automatic


