Citance Number: 1 | Reference Article:  J09-3003.txt | Citing Article:  P10-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The authors later explored the difference between prior and contextual polarity (Wilson et al, 2009): words that lose polarity in context, or whose polarity is reversed because of context.</S> | Reference Offset:  ['4','39'] | Reference Text:  <S sid = 4 ssid = >Also, quite often words that are positive or negative out of context are neutral in context, meaning they are not even being used to express a sentiment.</S><S sid = 39 ssid = >Out of context, we would consider both of these words to be positive.1 In context, the word reason is being negated, changing its polarity from positive to negative.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J09-3003.txt | Citing Article:  C10-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other studies such as Na et al (2004), Ding et al (2008), and Wilson et al (2009) also explore negation shifting and achieve some improvements.</S> | Reference Offset:  ['502','506'] | Reference Text:  <S sid = 502 ssid = >Morinaga et al. (2002), Yu and Hatzivassiloglou (2003), Kim and Hovy (2004), Hu and Liu (2004), and Grefenstette et al.</S><S sid = 506 ssid = >Morinaga et al. only consider the positive or negative clue instance in each sentence that is closest to some target reference; Kim and Hovy, Hu and Liu, and Grefenstette et al. multiply or count the prior polarities of clue instances in the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J09-3003.txt | Citing Article:  C10-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wilson et al (2009) use conjunctive and dependency relations among polarity words.</S> | Reference Offset:  ['472','498'] | Reference Text:  <S sid = 472 ssid = >As we do, Popescu and Etzioni use features that represent conjunctions and dependency relations between polarity words.</S><S sid = 498 ssid = >Takamura et al. (2005) use negation words and phrases, including phrases such as lack of that are members in our lists of polarity shifters, and conjunctive expressions that they collect from corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J09-3003.txt | Citing Article:  W10-0212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the research on recognizing contextual polarity done by Wilson et al (2009) a rich prior-polarity lexicon and dependency parsing technique were employed to detect and analyze subjectivity on phrasal level, taking into account all the power of context, captured through such features as negation, polarity modification and polarity shifters.</S> | Reference Offset:  ['244','507'] | Reference Text:  <S sid = 244 ssid = >As before, if the sibling is not in the Wilson, Wiebe, and Hoffmann Recognizing Contextual Polarity lexicon, its prior polarity is neutral.</S><S sid = 507 ssid = >These researchers also consider local negation to reverse polarity, with Morinaga et al. also taking into account the negating effect of words like insufficient.</S> | Discourse Facet:  NA | Annotator: Automatic


