Citance Number: 1 | Reference Article:  W11-1902.txt | Citing Article:  D12-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, the Stanford coreference resolver (Lee et al 2011), which won the CoNLL-2011 shared task on coreference resolution, adopts the once-popular rule-based approach, resolving pronouns simply with rules that encode the aforementioned traditional linguistic constraints on coreference, such as the Binding constraints and gender and number agreement. The infrequency of occurrences of difficult pronouns in these standard evaluation corpora by no means undermines their significance, however.</S> | Reference Offset:  ['1','6'] | Reference Text:  <S sid = 1 ssid = >This paper details the coreference resolution system submitted by Stanford at the CoNLL- 2011 shared task.</S><S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W11-1902.txt | Citing Article:  D12-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','132'] | Reference Text:  <S sid = 48 ssid = >All sieves traverse the candidate list until they find a coreferent antecedent according to their criteria or reach the end of the list.</S><S sid = 132 ssid = >Any opinions, findings, and conclusion or recommendations expressed in this material are those of the authors and do not necessarily reflect the view of the Air Force Research Laboratory (AFRL).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W11-1902.txt | Citing Article:  D12-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our second baseline is the Stanford resolver (Lee et al2011), which achieves the best performance in the CoNLL 2011 shared task (Pradhan et al2011).</S> | Reference Offset:  ['1','6'] | Reference Text:  <S sid = 1 ssid = >This paper details the coreference resolution system submitted by Stanford at the CoNLL- 2011 shared task.</S><S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W11-1902.txt | Citing Article:  P13-2118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lee et al (2011) use rules to extract appositions for co reference resolution, selecting only those that are explicitly flagged using commas or parentheses.</S> | Reference Offset:  ['6','39'] | Reference Text:  <S sid = 6 ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al., 2011).</S><S sid = 39 ssid = >Note that the above rules extract both mentions in appositive and copulative relations, e.g., [[Yongkang Zhou], the general manager] or [Mr. Savoca] had been [a consultant... ].</S> | Discourse Facet:  NA | Annotator: Automatic


