Citance Number: 1 | Reference Article:  W06-3105.txt | Citing Article:  W07-0715.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>DeNero et al (2006) tried a different generative phrase translation model analogous to IBM word-translation Model 3 (Brown et al., 1993), and again found that the standard model outperformed their generative model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this work, we first define a novel (but not radical) generative phrase-based model analogous to IBM Model 3.</S><S sid = NA ssid = NA>The generative process modeled has four steps:2 The corresponding probabilistic model for this generative process is: where P(e, ¯fi , ¯ei, a|f) factors into a segmentation model σ, a translation model φ and a distortion model d. The parameters for each component of this model are estimated differently: ing function based on absolute sentence position akin to the one used in IBM model 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-3105.txt | Citing Article:  W07-0715.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>DeNero et al (2006) attribute the inferiority of their model and the Marcu and Wong model to a hidden segmentation variable, which enables the EM algorithm to maximize the probability of the training data without really improving the quality of the model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The generative process modeled has four steps:2 The corresponding probabilistic model for this generative process is: where P(e, ¯fi , ¯ei, a|f) factors into a segmentation model σ, a translation model φ and a distortion model d. The parameters for each component of this model are estimated differently: ing function based on absolute sentence position akin to the one used in IBM model 3.</S><S sid = NA ssid = NA>Significant approximation and pruning is required to train a generative phrase model and table – such as φEM – with hidden segmentation and alignment variables using the expectation maximization algorithm (EM).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-3105.txt | Citing Article:  P11-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This avoids segmentation problems encountered by DeNero et al (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using word alignments, we can address both problems.4 In particular, we can determine for any aligned segmentation ( 1I1, eI1, a) whether it is compatible with the word-level alignment for the sentence pair.</S><S sid = NA ssid = NA>Koehn et al. (2003a) showed that translation quality is very sensitive to how this table is extracted from the training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-3105.txt | Citing Article:  D08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>140k sentences up to a certain length. DeNero et al (2006) have explored estimation using EM of phrase pair probabilities under a conditional translation model based on the original source-channel formulation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>At the core of a phrase-based statistical machine translation system is a phrase table containing pairs of source and target language phrases, each weighted by a conditional translation probability.</S><S sid = NA ssid = NA>We tested on the first 1,000 unique sentences of length 5 to 15 in the corpus and trained on sentences of length 1 to 60 starting after the first 10,000.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W06-3105.txt | Citing Article:  D08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These segmentations into bilingual containers (where segmentations are taken inside the containers) are different from the monolingual segmentations used in earlier comparable conditional models (e.g., (DeNero et al, 2006)) which must generate the alignment on top of the segmentations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>While in some cases, such as idiomatic vs. literal translations, two segmentations may be in true competition, we show that the most common result is for different segmentations to be recruited for different examples, overfitting the training data and overly determinizing the phrase translation estimates.</S><S sid = NA ssid = NA>We show that estimates are overly determinized because segmentations are used in unintuitive ways for the sake of data likelihood.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W06-3105.txt | Citing Article:  D08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As it has been found out by (DeNero et al, 2006), it is not easy to come up with a simple, effective prior distribution over segmentations that allows for improved phrase pair estimates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first propose a simple generative, phrase-based model and verify that its estimates are inferior to those given by surface statistics.</S><S sid = NA ssid = NA>We define a phrase pair to be compatible with a word-alignment if no word in either phrase is aligned with a word outside the other phrase (Zens et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


