Citance Number: 1 | Reference Article:  P03-1003.txt | Citing Article:  P14-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Echihabi and Marcu (2003) have developed a noisy-channel model for QA, which explains how a sentence containing an answer to a given question can be rewritten into that question through a sequence of stochastic operations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This model explains how a given sentence SA that contains an answer sub-string A to a question Q can be rewritten into Q through a sequence of stochastic operations.</S><S sid = NA ssid = NA>A Noisy-Channel Approach To Question Answering</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1003.txt | Citing Article:  D07-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At a high level, the QA task boils down to only two essential steps (Echihabi and Marcu, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Section 2, we first present the noisy-channel model that we propose for this task.</S><S sid = NA ssid = NA>Our algorithm for generating training pairs implements deterministically the first two steps in our generative story.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1003.txt | Citing Article:  D07-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Examples of 22 cases where the bag-of-words approach fails abound in QA literature; here we borrow an example used by Echihabi and Marcu (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Section 3, we describe how we generate training examples.</S><S sid = NA ssid = NA>A Noisy-Channel Approach To Question Answering</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1003.txt | Citing Article:  P06-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>a noisy-channel model which selects the most likely answer to a question (cf. (Echihabi and Marcu, 2003)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Noisy-Channel Approach To Question Answering</S><S sid = NA ssid = NA>In Section 2, we first present the noisy-channel model that we propose for this task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1003.txt | Citing Article:  W12-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast, Echihabi and Marcu (2003) introduce an SMT-based method for extracting the concrete answer in factoid QA.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We introduce a probabilistic noisychannel model for question answering and we show how it can be exploited in the context of an end-to-end QA system.</S><S sid = NA ssid = NA>We use the same method to automatically enhance this set by retrieving from the web sentences containing answers to the questions.</S> | Discourse Facet:  NA | Annotator: Automatic


