Citance Number: 1 | Reference Article:  W08-2123.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >From the results of CoNLL-2008 shared task, the top system by (Johansson and Nugues, 2008) also used two 30 different subsystems to handle verbal and nominal predicates, respectively.</S> | Reference Offset:  ['192','193'] | Reference Text:  <S sid = 192 ssid = >The CoNLL?2008 shared task on joint parsing of syntactic and semantic de- pendencies.</S><S sid = 193 ssid = >In Proceedings of CoNLL?2008.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W08-2123.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One is gold-standard syntactic input, and other two are based on automatically parsing results of two parsers, the state-of-the-art syntactic parser described in (Johansson and Nugues, 2008) 7 (it is referred to Johansson) and an integrated parser described as the following (referred to MST ME).</S> | Reference Offset:  ['64','166'] | Reference Text:  <S sid = 64 ssid = >Rather than training the models on gold- standard syntactic input, we created an automati- cally parsed training set by 5-fold cross-validation.</S><S sid = 166 ssid = >6 Conclusion We have described a system1 for syntactic and se- mantic dependency analysis based on PropBank and NomBank, and detailed the implementation of its subsystems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W08-2123.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that the reranking may slightly improve the syntactic performance according to (Johansson and Nugues, 2008).</S> | Reference Offset:  ['0','193'] | Reference Text:  <S sid = 0 ssid = >CoNLL 2008: Proceedings of the 12th Conference on Computational Natural Language Learning, pages 183?187 Manchester, August 2008 Dependency-based Syntactic?Semantic Analysis with PropBank and NomBank Richard Johansson and Pierre Nugues Lund University, Sweden {richard, pierre}@cs.lth.se Abstract This paper presents our contribution in the closed track of the 2008 CoNLL Shared Task (Surdeanu et al., 2008).</S><S sid = 193 ssid = >In Proceedings of CoNLL?2008.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W08-2123.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The comparison indicates that our integrated system outputs a result quite close to the state-of-the-art by the pipeline system of (Johansson and Nugues, 2008) as the same syntactic structure input is adopted.</S> | Reference Offset:  ['0','10'] | Reference Text:  <S sid = 0 ssid = >CoNLL 2008: Proceedings of the 12th Conference on Computational Natural Language Learning, pages 183?187 Manchester, August 2008 Dependency-based Syntactic?Semantic Analysis with PropBank and NomBank Richard Johansson and Pierre Nugues Lund University, Sweden {richard, pierre}@cs.lth.se Abstract This paper presents our contribution in the closed track of the 2008 CoNLL Shared Task (Surdeanu et al., 2008).</S><S sid = 10 ssid = >semantic structure: ?y?</S> | Discourse Facet:  NA | Annotator: Automatic


