Citance Number: 1 | Reference Article:  P10-4002.txt | Citing Article:  D10-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For translation experiments, we used cdec (Dyer et al, 2010), a fast implementation of hierarchical phrase-based translation models (Chiang, 2005), which represents a state-of-the-art translation system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Phrase-based models (Koehn et al., 2003), lexical translation models (Brown et al., 1993), and finite-state conditional random fields (Sha and Pereira, 2003) exemplify the former, and hierarchical phrase-based models the latter (Chiang, 2007).</S><S sid = NA ssid = NA>cdec: A Decoder Alignment and Learning Framework for Finite-State and Context-Free Translation Models</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P10-4002.txt | Citing Article:  P14-2127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our implementation is mostly in Python on top of the cdec system (Dyer et al, 2010) via the pycdec interface (Chahuneau et al, 2012).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Implementations of the BLEU and TER loss functions are provided (Papineni et al., 2002; Snover et al., 2006).</S><S sid = NA ssid = NA>2010.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P10-4002.txt | Citing Article:  E12-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The weights of the log-linear translation models were tuned towards the BLEU metric on development data using cdec's (Dyer et al, 2010) implementation of MERT (Och, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In these models, the translation model is trained to maximize conditional log likelihood of the training data under a specified grammar.</S><S sid = NA ssid = NA>Phrase-based models (Koehn et al., 2003), lexical translation models (Brown et al., 1993), and finite-state conditional random fields (Sha and Pereira, 2003) exemplify the former, and hierarchical phrase-based models the latter (Chiang, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P10-4002.txt | Citing Article:  P12-2058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We implement Linear CP (LCP) on top of Cdec (Dyer et al, 2010), a widely-used hierarchical MT system that includes implementations of standard CP and FCP algorithms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Implementations of the BLEU and TER loss functions are provided (Papineni et al., 2002; Snover et al., 2006).</S><S sid = NA ssid = NA>2010.</S> | Discourse Facet:  NA | Annotator: Automatic


