Citance Number: 1 | Reference Article:  W03-0407.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We do not run self-training for POS tagging as it has been shown unuseful for this application (Clark et al 2003).</S> | Reference Offset:  ['89','121'] | Reference Text:  <S sid = 89 ssid = >Towards the end of the co-training run, more material is being selected for C&C than TNT.</S><S sid = 121 ssid = >The results are shown in Table 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-0407.txt | Citing Article:  P05-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >paradigm in which a small amount of labeled data is available (see, e.g., Clark et al (2003)).</S> | Reference Offset:  ['8','124'] | Reference Text:  <S sid = 8 ssid = >In each case, co-training was used successfully to bootstrap a model from only a small amount of labelled data and a much larger pool of unlabelled data.</S><S sid = 124 ssid = >Although bootstrapping from unlabelled data is particularly valuable when only small amounts of training material are available, it is also interesting to see if selftraining or co-training can improve state of the art POS taggers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-0407.txt | Citing Article:  P07-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Indeed, (Clark et al, 2003) applied self training to POS-tagging with poor results, and (Charniak, 1997) applied it to a generative statistical PCFG parser trained on a large seed set (40K sentences), without any gain in performance.</S> | Reference Offset:  ['120','131'] | Reference Text:  <S sid = 120 ssid = >Both taggers were initialised with either 500 or 50 seed sentences, and agreement-based co-training was applied, using a cache size of 500 sentences.</S><S sid = 131 ssid = >These results show no significant improvement using either self-training or co-training with very large seed datasets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-0407.txt | Citing Article:  P10-2038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Clark et al (2003) reported positive results with little labeled training data but negative results when the amount of labeled training data increased; the same seems to be the case in Wang et al (2007) who use co-training of two diverse POS taggers.</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Bootstrapping POS-Taggers Using Unlabelled Data</S><S sid = 8 ssid = >In each case, co-training was used successfully to bootstrap a model from only a small amount of labelled data and a much larger pool of unlabelled data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W03-0407.txt | Citing Article:  N09-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Clark et al (2003) reported positive results with little labeled training data but negative results when the amount of labeled training data increases.</S> | Reference Offset:  ['24','99'] | Reference Text:  <S sid = 24 ssid = >However, our experiments are relevant for languages for which there is little or no annotated data.</S><S sid = 99 ssid = >We see that naive co-training improves as the cache size increases.</S> | Discourse Facet:  NA | Annotator: Automatic


