Citance Number: 1 | Reference Article:  J92-4003.txt | Citing Article:  P95-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>On the other hand, the thesaurus-based method of Yarowsky (1992) may suffer from loss of information (since it is semi-class-based) as well as data sparseness since H Classes used in Resnik (1992) are based on the WordNet taxonomy while classes of Brown et al (1992) and Pereira et al (1993) are derived from statistical data collected from corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used these classes to construct an interpolated 3-gram class model using the same training text and held-out data as we used for the word-based language model we discussed above.</S><S sid = NA ssid = NA>We then interpolated the class-based estimators with the word-based estimators and found the perplexity of the test data to be 236, which is a small improvement over the perplexity of 244 we obtained with the word-based model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J92-4003.txt | Citing Article:  P14-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For all languages we use Brown clustering (Brown et al, 1992) to construct a log (C)+ C feature vector where the first log (C) elements indicate which mer gable cluster the word belongs to, and the last C elements indicate the cluster identity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If we continue the algorithm for V - 1 merges, then we will have a single cluster which, of course, will be the entire vocabulary.</S><S sid = NA ssid = NA>Let and let The average mutual information remaining after V — k merges is We use the notation i+ j to represent the cluster obtained by merging Ck(i) and Ck(i)• If we know Ik.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J92-4003.txt | Citing Article:  C10-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the word clusters computed by Candito and Crabbe (2009) using Percy Liang's implementation of the Brown unsupervised clustering algorithm (Brown et al, 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To make even this suboptimal algorithm practical one must exercise a certain care in implementation.</S><S sid = NA ssid = NA>Although we have described this algorithm as one for finding clusters, we actually determine much more.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J92-4003.txt | Citing Article:  W01-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors would like to thank John Lafferty for his assistance in constructing word classes described in this paper.</S><S sid = NA ssid = NA>Of the 6.799 x 1010 2-grams that might have occurred in the data, only 14,494,217 actually did occur and of these, 8,045,024 occurred only once each.</S> | Discourse Facet:  NA | Annotator: Automatic


