Citance Number: 1 | Reference Article:  W95-0101.txt | Citing Article:  W96-0101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Brill, 1995) presents a rule-based part-of-speech tagger for unsupervised training corpus.</S> | Reference Offset:  ['1','132'] | Reference Text:  <S sid = 1 ssid = >In this paper we describe an unsupervised learning algorithm for automatically training a rule-based part of speech tagger without using a manually tagged corpus.</S><S sid = 132 ssid = >Conclusions In this paper, we have presented a new algorithm for unsupervised training of a rule-based part of speech tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W95-0101.txt | Citing Article:  P14-2132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The fact that observations and prior knowledge are useful for part-of-speech tagging is well understood (Brill, 1995), but the approach of estimating an initial transition model only from unambiguous word pairs is novel.</S> | Reference Offset:  ['11','109'] | Reference Text:  <S sid = 11 ssid = >If no prior knowledge is available, probabilities are initially either assigned randomly or evenly distributed.</S><S sid = 109 ssid = >This approach is described in [Merialdo, 1995; Elworthy, 1994].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W95-0101.txt | Citing Article:  C00-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the meantime, (Brill 1995a) (Brill 1995b) proposed a method to acquire context-dependent POS disambiguation rules and created an accurate tagger, even from a very small annotated text by combining supervised and unsupervised learning.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Learning Of Disambiguation Rules For Part Of Speech Tagging</S><S sid = 3 ssid = >Next, we show a method for combining unsupervised and supervised rule-based training algorithms to create a highly accurate tagger using only a small amount of manually tagged text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W95-0101.txt | Citing Article:  C00-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','136'] | Reference Text:  <S sid = 42 ssid = >The unsupervised rule learning algorithm is based on the following simple idea.</S><S sid = 136 ssid = >We have also demonstrated that overtraining, a problem in Baum-Welch training, is not a problem in transformationbased learning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W95-0101.txt | Citing Article:  W05-0615.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Later results (e.g. Brill (1995)) seemed to indicate that other methods of unsupervised learning could be more effective (although the work of Banko and Moore (2004) suggests that the difference may be far less than previously assumed).</S> | Reference Offset:  ['62','95'] | Reference Text:  <S sid = 62 ssid = >In later learning iterations, the training set is transformed as a result of applying previously learned transformations.</S><S sid = 95 ssid = >These results are significantly lower than the results achieved using unsupervised transformation-based learning.</S> | Discourse Facet:  NA | Annotator: Automatic


