Citance Number: 1 | Reference Article:  J98-1006.txt | Citing Article:  E12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Leacock et al (1998), Agirre and Lopezde Lacalle (2004), and Mihalcea and Moldovan (1999) propose a set of methods for automatic harvesting of web data for the purposes of creating sense annotated corpora.</S> | Reference Offset:  ['28','325'] | Reference Text:  <S sid = 28 ssid = >The Cognitive Science Laboratory at Princeton University, with support from NSF-ARPA, is producing textual corpora that can be used in developing and evaluating automatic methods for disambiguation.</S><S sid = 325 ssid = >Because the supply of manually tagged training data will always be limited, we propose a method to obtain training data automatically using commonly available materials: exploiting WordNet's lexical relations to harvest training examples from LDC corpora or even the World Wide Web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J98-1006.txt | Citing Article:  C08-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The following similarity measures were considered: two measures based on path lenghts between concepts (path and lch (Leacocket al, 1998)), three measures based on information content.</S> | Reference Offset:  ['251','254'] | Reference Text:  <S sid = 251 ssid = >The similarity measures on WordNet found that sauerbraten was most similar to dinner in the training, and dumpling to bacon.</S><S sid = 254 ssid = >Augmentation of the local .context classifier with WordNet similarity measures showed a small but consistent improvement in the classifier's performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J98-1006.txt | Citing Article:  W06-1649.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many corpus based methods have been proposed to deal with the sense disambiguation problem when given definition for each possible sense of a target word or a tagged corpus with the instances of each possible sense, e.g., supervised sense disambiguation (Leacocketal., 1998), and semi-supervised sense disambiguation (Yarowsky, 1995).</S> | Reference Offset:  ['125','133'] | Reference Text:  <S sid = 125 ssid = >Thus, Leacock, Towell, and Voorhees (1993) found that some senses of the noun line are not susceptible to disambiguation with topical context.</S><S sid = 133 ssid = >An estimate is possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J98-1006.txt | Citing Article:  P05-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many methods have been proposed to deal with this problem, including supervised learning algorithms (Leacock et al, 1998).</S> | Reference Offset:  ['96','188'] | Reference Text:  <S sid = 96 ssid = >Of course, the sparse data problem affects these probabilities too, and so TLC uses the Good-Turing formula (Good 1953; Chiang, Lin, and Su 1995), to smooth the values of p(cj s,), including providing probabilities for cues that did not occur in the training.</S><S sid = 188 ssid = >The results of disambiguation strategies reported for pseudowords and the like are consistently above 95% overall accuracy, far higher than those reported for disambiguating three or more senses of polysemous words (Wilks et al. 1993; Leacock, Towel!, and Voorhees 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


