Citance Number: 1 | Reference Article:  P93-1002.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['95','192'] | Reference Text:  <S sid = 95 ssid = >To model 1:0 sentence beads, we use a similar equation except that we only use 1:0 word beads, and we do not need to sum over beadings since there is only one word beading consistent with a 1:0 sentence bead.</S><S sid = 192 ssid = >However, substantially greater computing power is required before these approaches can become practical, and there is not much room for further improvements in accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P93-1002.txt | Citing Article:  P13-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As shown in Chen (1993) and Wu (1994), however, sentence length based methods suffer when the texts to be aligned contain small passages, or the languages involved share few cognates.</S> | Reference Offset:  ['26','28'] | Reference Text:  <S sid = 26 ssid = >These algorithms are not robust with respect to non-literal translations and small deletions; they can easily misalign small passages because they ignore word identities.</S><S sid = 28 ssid = >With length-based alignment algorithms, these passages may well be misaligned by an even number of sentences if one of the corpora contains a deletion.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P93-1002.txt | Citing Article:  C94-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other translation-based alignments (Kay, 199l; Chen, 1993) show the difficulty in determining the word correspondence and are very complex.</S> | Reference Offset:  ['3','70'] | Reference Text:  <S sid = 3 ssid = >Our algorithm constructs a simple statistical word-to-word translation model on the fly during alignment.</S><S sid = 70 ssid = >We describe our model in terms of a series of increasingly complex models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P93-1002.txt | Citing Article:  P97-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As Chen (1993) points out, dynamic programming is particularly susceptible to deletions occurring in one of the two languages.</S> | Reference Offset:  ['23','145'] | Reference Text:  <S sid = 23 ssid = >Dynamic programming is also used to search for the best alignment.</S><S sid = 145 ssid = >Deletions are automatically handled within the standard dynamic programming framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P93-1002.txt | Citing Article:  W05-0816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Simard and Plamondon (Simard and Plamondon, 1998) used a composite method in which the first pass does alignment at the level of characters asin (Church, 1993) (itself based on cognate matching) and the second pass uses IBM Model-1, following Chen (Chen, 1993).</S> | Reference Offset:  ['99','126'] | Reference Text:  <S sid = 99 ssid = >We present its most significant characteristics in this section; for a more complete discussion please refer to (Chen, 1993).</S><S sid = 126 ssid = >We can align a corpus with only a single pass, simultaneously producing alignments and updating the model as we proceed.</S> | Discourse Facet:  NA | Annotator: Automatic


