Citance Number: 1 | Reference Article:  W96-0102.txt | Citing Article:  E12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first four lines show the token-level accuracy for standard POS tagging tools trained and evaluated on the BulTreeBank:2 TreeTagger (Schmid, 1994), which uses decision trees, TnT (Brants, 2000), which uses a hidden Markov model, SVMtool (Gimenez and Ma`rquez, 2004), which is based on support vector machines, and ACOPOST (Schroder, 2002), implementing the memory-based model of Daelemans et al (1996).</S> | Reference Offset:  ['15','177'] | Reference Text:  <S sid = 15 ssid = >Most work on statistical methods has used n-gram models or Hidden Markov Model-based taggers (e.g.</S><S sid = 177 ssid = >An approach based on k-nn methods (such as memory-based and case-based methods) is a statistical approach, but it uses a different kind of statistics than Markov model-based approaches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W96-0102.txt | Citing Article:  W10-4223.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the Memory Based Tagger (Daelemans et al, 1996) System Headline Source Florida executes notorious serial killer PBMT Serial killer executed in Florida Word Sub.</S> | Reference Offset:  ['47','71'] | Reference Text:  <S sid = 47 ssid = >We use IGTrees (Daelemans et al. 1996) to compress the memory.</S><S sid = 71 ssid = >For a detailed discussion, see Daelemans et al. (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W96-0102.txt | Citing Article:  P02-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To investigate the effect of using automatically assigned tags, we trained MBT, a memory-based tagger (Daelemans et al,1996), on the training portions of our 10-fold cross validation experiment for the maximal data and let it predict tags for the test material.</S> | Reference Offset:  ['141','154'] | Reference Text:  <S sid = 141 ssid = >Where possible, we used a 10-fold cross-validation approach.</S><S sid = 154 ssid = >Training set size is on the X-axis, generalization performance as measured in a 10-fold cross-validation experiment is on the Y-axis. the 'error' range indicate averages plus and minus one standard deviation on each 10-fold cross-validation experiment.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W96-0102.txt | Citing Article:  W99-0608.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In that table, TBL stands for Brill &apos; s transformation-based error-driven tagget (Brill, 1995), ME stands for a tagger based on the maximum entropy modelling (Ratnaparkhi, 1996), SPATTER stands for a statistical parser based on decision trees (Magerman, 1996), IGTREE stands for the memory-based tagger by Daelemans et al (1996), and, finally, TComb stands for a tagger that works by combination of a statistical trigram-based tagger, 59 Tagger TBL ME SPATTER IGTREE TComb STT+ (CPD+ENS) Train Test 950 Kw 150 Kw.</S> | Reference Offset:  ['0','5'] | Reference Text:  <S sid = 0 ssid = >MBT: A Memory-Based Part Of Speech Tagger-Generator</S><S sid = 5 ssid = >Based on such a corpus, the tagger-generator automatically builds a tagger which is able to tag new text the same way, diminishing development time for the construction of a tagger considerably.</S> | Discourse Facet:  NA | Annotator: Automatic


