Citance Number: 1 | Reference Article:  P01-1019.txt | Citing Article:  P02-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Given the fine-grained syntactic and semantic analysis of the HPSG grammar and its robustness (through SNLP integration), we decided to use the semantic representation (MRS, see (Copestake et al, 2001)) as additional input for IE.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have developed a framework for formally specifying semantics within constraint-based representations which allows semantic operations in a grammar to be tightly specified and which allows a representation of semantic content which is largely independent of the feature structure architecture of the syntactic representation.</S><S sid = NA ssid = NA>Some constraint-based grammar formalisms incorporate both syntactic and semantic representations within the same structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P01-1019.txt | Citing Article:  W05-1605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The semantic representations used are flat semantic representations in the sense of [Copestake et al, 2001] and the semantic parameters (that is, the semantic indices representing the missing arguments of the semantic functors) are represented by unification variables.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some constraint-based grammar formalisms incorporate both syntactic and semantic representations within the same structure.</S><S sid = NA ssid = NA>Definition 3 The Semantic Algebra A Semantic Algebra defined on vocabulary V is the algebra (E, op) where: where Tr stands for transitive closure (i.e., if S = {x = y, y = z}, then This definition makes a2 the equivalent of a semantic functor and a1 its argument.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P01-1019.txt | Citing Article:  P11-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ge and Mooney (2009) extracts semantic representations using syntactic structures while Copestake et al (2001) develops algebras for semantic construction within grammars.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Algebra For Semantic Construction In Constraint-Based Grammars</S><S sid = NA ssid = NA>Some constraint-based grammar formalisms incorporate both syntactic and semantic representations within the same structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P01-1019.txt | Citing Article:  P03-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent work in semantic construction for HPSG (Copestake et al., 2001) supports our conjecture: the examples discussed there are compatible with our simplification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Algebra For Semantic Construction In Constraint-Based Grammars</S><S sid = NA ssid = NA>We can now define the following operation f over these denotations to create an algebra: Definition 5 Semantics of the Semantic Construction Algebra where G0 = {g : g(i1) = g(i02)} And this operation demonstrates that semantic construction is compositional: Theorem 2 Semantics of Semantic Construction is Compositional The mapping [] : hΣ, opi −→ hhI, I, Gi, fi is a homomorphism (so [op(a1, a2)] = f([a1], [a2])).</S> | Discourse Facet:  NA | Annotator: Automatic


