Citance Number: 1 | Reference Article:  D07-1096.txt | Citing Article:  P10-3018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we want to thank the following people,who in different ways assisted us in the organi zation of the CoNLL 2007 shared task: Giuseppe Attardi, Eckhard Bick, Matthias Buch-Kromann,Xavier Carreras, Tomaz Erjavec, Svetoslav Mari nov, Wolfgang Menzel, Xue Nianwen, Gertjan van Noord, Petya Osenova, Florian Schiel, Kiril Simov, Zdenka Uresova, and Heike Zinsmeister.</S><S sid = NA ssid = NA>Furthermore, the annotation scheme for gaps and traces was made consistent with the Penn Treebank wherever possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1096.txt | Citing Article:  P10-3018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we want to thank the following people,who in different ways assisted us in the organi zation of the CoNLL 2007 shared task: Giuseppe Attardi, Eckhard Bick, Matthias Buch-Kromann,Xavier Carreras, Tomaz Erjavec, Svetoslav Mari nov, Wolfgang Menzel, Xue Nianwen, Gertjan van Noord, Petya Osenova, Florian Schiel, Kiril Simov, Zdenka Uresova, and Heike Zinsmeister.</S><S sid = NA ssid = NA>Furthermore, the annotation scheme for gaps and traces was made consistent with the Penn Treebank wherever possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1096.txt | Citing Article:  P10-3018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we want to thank the following people,who in different ways assisted us in the organi zation of the CoNLL 2007 shared task: Giuseppe Attardi, Eckhard Bick, Matthias Buch-Kromann,Xavier Carreras, Tomaz Erjavec, Svetoslav Mari nov, Wolfgang Menzel, Xue Nianwen, Gertjan van Noord, Petya Osenova, Florian Schiel, Kiril Simov, Zdenka Uresova, and Heike Zinsmeister.</S><S sid = NA ssid = NA>Furthermore, the annotation scheme for gaps and traces was made consistent with the Penn Treebank wherever possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1096.txt | Citing Article:  P09-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, of ten treebanks for CoNLL-2007 shared task, none includes more than 500K tokens, while the sum of tokens from all tree banks is about two million (Nivre et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2007 Shared Task on Dependency Parsing</S><S sid = NA ssid = NA>PADT was one of the treebanks used in the 2006 shared task but then only contained about 54,000 tokens.</S> | Discourse Facet:  NA | Annotator: Automatic


