Citance Number: 1 | Reference Article:  N04-4026.txt | Citing Article:  P05-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A DP-based beam search procedure identical to the one used in (Tillmann,2004) is used to maximize over all oriented block segmentations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use a DP-based beam search procedure similar to the one presented in (Tillmann and Xia, 2003).</S><S sid = NA ssid = NA>We maximize over all block segmentations with orientation for which the source phrases yield a segmentation of the input sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-4026.txt | Citing Article:  P05-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For details see (Tillmann, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is the model presented in (Tillmann and Xia, 2003).</S><S sid = NA ssid = NA>Our baseline model is the unigram monotone model described in (Tillmann and Xia, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-4026.txt | Citing Article:  P05-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The paper has greatly profited from discussion with Kishore Papineni and Fei Xia.</S><S sid = NA ssid = NA>1, the orientation sequence is , i.e. block and block are generated using left orientation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-4026.txt | Citing Article:  P13-1156.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We focus on improving the modelling of reordering within Hiero and include discriminative reordering features (Tillmann, 2004) and a distance cost feature, both of which are not modeled in the original Hiero system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The neutral orientation is not modeled explicitly in this paper, rather it is handled as a default case as explained below.</S><S sid = NA ssid = NA>This is the model presented in (Tillmann and Xia, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-4026.txt | Citing Article:  P10-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The phrase-based reordering model (Tillmann, 2004) determines the presence of the adjacent bilingual phrase located in position (s-1,v+1) and then treats the orientation of bp as S.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we present a phrase-based unigram system similar to the one in (Tillmann and Xia, 2003), which is extended by an unigram orientation model.</S><S sid = NA ssid = NA>The decoding orientation restrictions are illustrated in Fig 3: a monotone block sequence with right ( 'We keep all blocks for which and the phrase length is less or equal .</S> | Discourse Facet:  NA | Annotator: Automatic


