Citance Number: 1 | Reference Article:  P02-1043.txt | Citing Article:  P14-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These parsers are trained and evaluated using CCGbank (Hockenmaier and Steedman, 2002a), an automatic conversion of the Penn Treebank into the CCG formalism.</S> | Reference Offset:  ['2','22'] | Reference Text:  <S sid = 2 ssid = >These models are trained and tested on a corpus obtained by translating the Penn Treebank trees into CCG normal-form derivations.</S><S sid = 22 ssid = >CCGbank is a corpus of CCG normal-form derivations obtained by translating the Penn Tree bank trees using an algorithm described by Hockenmaier and Steedman (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1043.txt | Citing Article:  P14-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Several broad coverage parsers have been trained using this resource (Hockenmaier and Steedman, 2002b; Hockenmaier, 2003b).</S> | Reference Offset:  ['2','22'] | Reference Text:  <S sid = 2 ssid = >These models are trained and tested on a corpus obtained by translating the Penn Treebank trees into CCG normal-form derivations.</S><S sid = 22 ssid = >CCGbank is a corpus of CCG normal-form derivations obtained by translating the Penn Tree bank trees using an algorithm described by Hockenmaier and Steedman (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1043.txt | Citing Article:  W07-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hockenmaier and Steedman (2002) describe a generative model for CCG, which only requires a non-iterative counting process for training, but it is generally acknowledged that discriminative models provide greater flexibility and typically higher performance.</S> | Reference Offset:  ['0','41'] | Reference Text:  <S sid = 0 ssid = >Generative Models For Statistical Parsing With Combinatory Categorial Grammar</S><S sid = 41 ssid = >The performance of the baseline model is shown in the top row of table 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1043.txt | Citing Article:  E12-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CCG grammar used by our system is read off the derivations in CCGbank, following Hockenmaier and Steedman (2002), meaning that the CCG combinatory rules are encoded as rule instances, together with a number of additional rules which deal with punctuation and type-changing.</S> | Reference Offset:  ['25','32'] | Reference Text:  <S sid = 25 ssid = >The grammar contains a set of type-changing rules similar to the lexical rules described in Carpenter (1992).</S><S sid = 32 ssid = >in the sense that analyses involving the combinatory rules of type-raising and composition are only used when syntactically necessary.</S> | Discourse Facet:  NA | Annotator: Automatic


