Citance Number: 1 | Reference Article:  P87-1015.txt | Citing Article:  P01-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach that Vijay-Shanker et al (1987) and Weir (1988) take, elaborated on by Becker et al (1992), is to identify a very general class of formalisms, which they call linear context free rewriting systems (CFRSs), and define for this class a large space of structural descriptions which serves as a common ground in which the strong generative capacities of these formalisms can be compared.</S> | Reference Offset:  ['4','92'] | Reference Text:  <S sid = 4 ssid = >Little attention, however, has been paid to the structural descriptions that these formalisms can assign to strings, i.e. their strong generative capacity.</S><S sid = 92 ssid = >We loosely describe the class of all such systems as Linear Context-Free Rewriting Formalisms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P87-1015.txt | Citing Article:  E09-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here we use the standard definition of LCFRS (Vijay-Shanker et al, 1987) and only fix our notation; for a more thorough discussion of this formalism, we refer to the literature.</S> | Reference Offset:  ['120','221'] | Reference Text:  <S sid = 120 ssid = >To be a member of LCFRS a formalism must satisfy two restrictions.</S><S sid = 221 ssid = >Members of LCFRS whose operations have this property can be translated into the ILFP notation (Rounds, 1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P87-1015.txt | Citing Article:  W07-2214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There are many (structural) mildly context sensitive grammar formalisms, e.g. mcfg, lcfrs, mg, and they have been shown to be equivalent (Vijay-Shanker et al., 1987).</S> | Reference Offset:  ['62','214'] | Reference Text:  <S sid = 62 ssid = >TAG's can be shown to be equivalent to this restricted system.</S><S sid = 214 ssid = >LCFRS's share several properties possessed by the class of mildly context-sensitive formalisms discussed by Joshi (1983/85).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P87-1015.txt | Citing Article:  P09-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They are in particular more powerful than linear context-free rewriting systems (LCFRS) (Vijay-Shanker et al, 1987).</S> | Reference Offset:  ['92','118'] | Reference Text:  <S sid = 92 ssid = >We loosely describe the class of all such systems as Linear Context-Free Rewriting Formalisms.</S><S sid = 118 ssid = >In the remainder of the paper, we outline how a class of Linear Context-Free Rewriting Systems (LCFRS's) may be defined and sketch how semilinearity and polynomial recognition of these systems follows.</S> | Discourse Facet:  NA | Annotator: Automatic


