Citance Number: 1 | Reference Article:  J90-1003.txt | Citing Article:  A92-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The results of these studies have important applications in lexicography, to detect lexico-syntactic regularities (Church and Hanks).</S> | Reference Offset:  ['0','168'] | Reference Text:  <S sid = 0 ssid = >Word Association Norms Mutual Information And Lexicography</S><S sid = 168 ssid = >It is hard to know what is important in such a concordance and what is not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J90-1003.txt | Citing Article:  A92-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Church and Hanks, 1990) the significance of an association (x, y) is measured by the mutual information I (x, y) ,i.e. the probability of observing x and y together, compared with the probability of observing x and y independently.</S> | Reference Offset:  ['56','57'] | Reference Text:  <S sid = 56 ssid = >What is &quot;mutual information?&quot; According to Fano (1961), if two points (words), x and y, have probabilities P(x) and P(y), then their mutual information, I(x,y), is defined to be Informally, mutual information compares the probability of observing x and y together (the joint probability) with the probabilities of observing x and y independently (chance).</S><S sid = 57 ssid = >If there is a genuine association between x and y, then the joint probability P(x,y) will be much larger than chance P(x) P(y), and consequently I(x,y) » 0.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J90-1003.txt | Citing Article:  P14-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also measured the syntagmatic association of neighbour a and neighbour b, with a mutual information measure (Church and Hanks, 1990), computed from the cooccurrence of two tokens within the same paragraph in Wikipedia.</S> | Reference Offset:  ['0','52'] | Reference Text:  <S sid = 0 ssid = >Word Association Norms Mutual Information And Lexicography</S><S sid = 52 ssid = >We propose an alternative measure, the association ratio, for measuring word association norms, based on the information theoretic concept of mutual information.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J90-1003.txt | Citing Article:  S12-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the other side, corpus-based measures such as Latent Semantic Analysis (LSA) (Landauer et al, 1997), Explicit Semantic Analysis (ESA) (Gabrilovich and Markovitch, 2007), Salient Semantic Analysis (SSA) (Hassan and Mihalcea, 2011), Pointwise Mutual Information (PMI) (Church and Hanks, 1990), PMI-IR (Turney, 2001), Second Order PMI (Islamand Inkpen, 2006), Hyperspace Analogues to Language (Burgess et al, 1998) and distributional similarity (Lin, 1998) employ probabilistic approaches to decode the semantics of words.</S> | Reference Offset:  ['7','139'] | Reference Text:  <S sid = 7 ssid = >For example, Hindle (Church et al. 1989) has used a syntactic parser to select words in certain constructions of interest.</S><S sid = 139 ssid = >Hindle (Church et al. 1989) has found it helpful to preprocess the input with the Fidditch parser (Hindle 1983a, 1983b) to identify associations between verbs and arguments, and postulate semantic classes for nouns on this basis.</S> | Discourse Facet:  NA | Annotator: Automatic


