Citance Number: 1 | Reference Article:  P88-1015.txt | Citing Article:  P97-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Whittaker and Stenton (1988) devised rules for allocating dialogue control based on utterance types, and Walker and Whittaker (1990) utilized these rules for an analytical study on discourse segmentation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We devised several rules to determine the location of control in the dialogues.</S><S sid = NA ssid = NA>In cases where a turn consisted of several utterances, the control rules were only applied to the final utterance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P88-1015.txt | Citing Article:  P97-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Suppose we adopt a model that maintains a single thread of control, such as that of (Whittaker and Stenton, 1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The number of dialogues was small and taken from a single problem domain.</S><S sid = NA ssid = NA>Before the central shift, the client had control for more turns per topic and after it, the expert had control for more turns per topic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P88-1015.txt | Citing Article:  P97-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Repetitions and prompts also suggest that the speaker has nothing more to say and indicate that the hearer should take over the initiative (Whittaker and Stenton, 1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3.1 Prompts.</S><S sid = NA ssid = NA>Repetitions seem to work in a similar way: the fact that a speaker reiterates indicates that he has nothing more to say on a topic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P88-1015.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Whittaker and Stenton (1988) proposed rules for tracking initiative based on utterance types; for example, statements, proposals, and questions show initiative, while answers and acknowledgements do not.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The reason for this is that questions uttered following questions or commands are normally attempts to clarify the preceding utterance and as such are elicited by the previous speaker's utterance rather than directing the conversation in their own right.</S><S sid = NA ssid = NA>Each of these rules related control to utterance type: (a) For questions, the speaker was defined as being in control unless the question directly followed a question or command by the other conversant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P88-1015.txt | Citing Article:  W01-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Initiative is held by the speaker who is driving the conversation at any given point in the conversation (Whittaker and Stenton, 1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(b) For assertions, the speaker was defined as being in control unless the assertion was made in response to a question, for the same reasons as those given for questions; an assertion which is a response to a question could not be said to be controlling the discourse; (c) For commands, the speaker was defined as controlling the conversation.</S><S sid = NA ssid = NA>As we might expect, the point at which the expert begins to have control over more turns per topic is also the point at which the expert begins to initiate new topics.</S> | Discourse Facet:  NA | Annotator: Automatic


