Citance Number: 1 | Reference Article:  N06-1041.txt | Citing Article:  P07-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi and Klein (2006) use a small list of labeled prototypes and no dictionary.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The best comparison is to Smith and Eisner (2005) who use a partial tagging dictionary.</S><S sid = NA ssid = NA>Our general approach is to use distributional similarity to link any given word to similar prototypes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-1041.txt | Citing Article:  P14-2044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We report greedy one-to-one mapping accuracy (1-1) (Haghighi and Klein, 2006) and the information-theoretic score V measure (V-m), which also varies from 0 to 100% (Rosenberg and Hirschberg, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We followed the common approach in the literature, greedily mapping each model label to a target label in order to maximize per-position accuracy on the dataset.</S><S sid = NA ssid = NA>We used the dot product between left singular vectors as a measure of distributional similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-1041.txt | Citing Article:  D09-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, both Haghighi and Klein (2006) and Mann and McCallum (2008) have demonstrated results better than 66.1% on the apartments task described above using only a list of 33 highly discriminative features and the labels they indicate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, when learning a model for Penn treebank-style part-of-speech tagging in English, we may list the 45 target tags and a few examples of each tag (see figure 4 for a concrete prototype list for this task).</S><S sid = NA ssid = NA>Second, it is more or less the minimum one would have to provide to a human annotator in order to specify a new annotation task and policy (compare, for example, with the list in figure 2, which suggests an entirely different task).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-1041.txt | Citing Article:  D09-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Consequently, we abstract away from specifying a distribution by allowing the user to assign labels to features (c.f. Haghighi and Klein (2006), Druck et al (2008)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features give substantial error reduction on several induction tasks by allowing one to link words to prototypes according to distributional similarity.</S><S sid = NA ssid = NA>This manner of specifying prior knowledge about the task has several advantages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N06-1041.txt | Citing Article:  D09-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, prototype-driven learning (PDL) (Haghighi and Klein, 2006) optimizes the joint marginal likelihood of data labeled with prototype input features for each label.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Prototype-Driven Learning For Sequence Models</S><S sid = NA ssid = NA>In prototype-driven learning, we specify prototypical examples for each target label or label configuration, but do not necessarily label any documents or sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


