Citance Number: 1 | Reference Article:  W06-1606.txt | Citing Article:  D07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Galley et al.(2006) propose one solution to this problem and Marcu et al (2006) propose another, both of which we explore in Sections 5.1 and 5.2.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>In contrast, in the work of Galley et al. (2004; 2006), a rule is defined to be minimal when it is necessary in order to explain a (7r, F, A) tuple.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-1606.txt | Citing Article:  D07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An alternative for extracting larger rules called SPMT model 1 is presented by Marcu et al (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parameters of the SPMT models presented in this paper are easier to estimate than those of Galley et al’s (2006) and can easily exploit and expand on previous research in phrase-based machine translation.</S><S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-1606.txt | Citing Article:  P08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This solution requires larger applicability contexts (Marcu et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S><S sid = NA ssid = NA>We are not too concerned though because, in practice, we decode using a larger set of submodels (feature functions).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-1606.txt | Citing Article:  P08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Addressing the issues in Galley et al (2006), Marcu et al (2006) create an x Rs rule headed by a pseudo, non-syntactic non-terminal symbol that subsumes the phrase and its corresponding multi headed syntactic structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The process creates one xRS rule that is headed by a pseudo, non-syntactic nonterminal symbol that subsumes the target phrase and corresponding multi-headed syntactic structure; and one sibling xRS rule that explains how the non-syntactic nonterminal symbol can be combined with other genuine nonterminals in order to obtain genuine parse trees.</S><S sid = NA ssid = NA>The SPMT models are similar to the models proposed by Chiang (2005) and Galley et al. (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


