Citance Number: 1 | Reference Article:  N04-1035.txt | Citing Article:  C04-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Galley et al (2004) extract translation rules from a large parsed parallel corpus that extend in scope to tree fragments beyond a single node; we believe that adding such larger-scale operations to the translation model is likely to significantly improve the performance of syntactically supervised alignment.</S> | Reference Offset:  ['0','169'] | Reference Text:  <S sid = 0 ssid = >What's In A Translation Rule?</S><S sid = 169 ssid = >Our first algorithm, which has an exponential running time, cannot scale to process large corpora and extract a sufficient number of rules that a syntax-based statistical MT system would require.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1035.txt | Citing Article:  P12-3022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In terms of tree-to-string translation rule extraction, the toolkit implements the traditional maximum likelihood algorithm using PCFG trees (Galley et al, 2004) and HPSG trees/forests (Wu et al, 2010).</S> | Reference Offset:  ['0','112'] | Reference Text:  <S sid = 0 ssid = >What's In A Translation Rule?</S><S sid = 112 ssid = >Rule extraction: Algorithm 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1035.txt | Citing Article:  P12-3022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, we implemented the GHKM algorithm as proposed by Galley et al (2004) from word-aligned tree string pairs.</S> | Reference Offset:  ['62','64'] | Reference Text:  <S sid = 62 ssid = >In other words, a source word is aligned with a target word if the target word is created during the same step in which the source word is replaced.</S><S sid = 64 ssid = >Now, say that we have a source string, a target tree, and an alignment A.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1035.txt | Citing Article:  P11-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['206','207'] | Reference Text:  <S sid = 206 ssid = >We suspect that such probabilistic rules could be also used in conjunction with statistical decoders, to increase the accuracy of statistical machine translation systems.</S><S sid = 207 ssid = >This work was supported by DARPA contract N6600100-1-9814 and MURI grant N00014-00-1-0617.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-1035.txt | Citing Article:  P12-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the tree-to-string model, we parsed English sentences using Stanford parser and extracted rules using the GHKM algorithm (Galley et al, 2004).</S> | Reference Offset:  ['140','144'] | Reference Text:  <S sid = 140 ssid = >We evaluated the coverage of our model of transformation rules with two language pairs: English-French and English-Chinese.</S><S sid = 144 ssid = >We performed experiments with two corpora, the FBIS English-Chinese Parallel Text and the Hansard FrenchEnglish corpus.We parsed the English sentences with a state-of-the-art statistical parser (Collins, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


