Citance Number: 1 | Reference Article:  D07-1031.txt | Citing Article:  D10-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>[vbhmm]: Bayesian HMM with variational Bayes (Johnson, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>and Variational Bayes A Bayesian estimator combines a likelihood termP(x|?, ?) and a prior P(?, ?) to estimate the poste rior probability of a model or hidden state sequence.</S><S sid = NA ssid = NA>Similarly, as ?y approaches zero the state-to-state transitions become sparser.There are two main techniques for Bayesian esti mation of such models: Markov Chain Monte Carlo(MCMC) and Variational Bayes (VB).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1031.txt | Citing Article:  D10-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We fixed the and parameters to 0.1, values that appeared to be reasonable based on Johnson (2007), and which were also used by Graca et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(2002) and Teh et al (2006).</S><S sid = NA ssid = NA>However, in the ad hoc approach the expected count plus ??1 may be less than zero,resulting in a value of zero for the corresponding parameter (Johnson et al, 2007; Goldwater and Grif fiths, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1031.txt | Citing Article:  D10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate on a 1-to-1 mapping between unsupervised tags and gold labels, as well as many-to-1 (M-to-1), corresponding to the evaluation mappings used in Johnson (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This section describes how we evaluate how well thesesequences of hidden states correspond to the gold standard POS tags for the training corpus (here, the PTB POS tags).</S><S sid = NA ssid = NA>Wecan understand these results by comparing the dis tribution of words to hidden states to the distribution of words to POS tags in the gold-standard evaluation corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1031.txt | Citing Article:  D10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These figures are the MCMC settings that provided the best results in Johnson (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Interestingly, we obtained our best per formance on 1-to-1 accuracy when the Dirchlet prior?x = 0.1, a relatively large number, but best per formance on many-to-1 accuracy was achieved with a much lower value for the Dirichlet prior, namely ?x = 10?4.</S><S sid = NA ssid = NA>MCMC en compasses a broad range of sampling techniques, including component-wise Gibbs sampling, which is the MCMC technique we used here (Robert and Casella, 2004; Bishop, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D07-1031.txt | Citing Article:  D10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is much potential for further work in this direction, experimenting with more training data or more estimation iterations, or even looking at different estimators as suggested in Johnson (2007) and Ravi et al (2010b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(2002) and Teh et al (2006).</S><S sid = NA ssid = NA>However, in the ad hoc approach the expected count plus ??1 may be less than zero,resulting in a value of zero for the corresponding parameter (Johnson et al, 2007; Goldwater and Grif fiths, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic

