Citance Number: 1 | Reference Article:  A00-2004.txt | Citing Article:  P01-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Choi (2000) used the rank of the cosine, rather than the cosine itself, to measure the similarity of sentences. The statistical model for the algorithm is described in Section 2, and the algorithm for obtaining the maximum-probability segmentation is described in Section 3.</S> | Reference Offset:  ['31','98'] | Reference Text:  <S sid = 31 ssid = >For instance, the introduction section of a document is less cohesive than a section which is about a particular topic.</S><S sid = 98 ssid = >It incorporates the optimisations described in section 3.4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-2004.txt | Citing Article:  P01-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Choi, 2000) Table 1 gives the corpus statistics.</S> | Reference Offset:  ['71','85'] | Reference Text:  <S sid = 71 ssid = >Table 1 presents the corpus statistics. p(erroriref, hyp, k) = p(misslref, hyp, diff, k)p(diffl ref, k)+ (6) p(fairef, hyp, same, k)p(samelref, k) Speed performance is measured by the average number of CPU seconds required to process a test sample6.</S><S sid = 85 ssid = >Equation 7, 8 and 9 gives the general form of p(samelk), B(r,?) and Berm, respectively'.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-2004.txt | Citing Article:  P01-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Choi, 2000) Segmentation accuracy was measured by the probabilistic error metric proposed by Beeferman, et al (1999) Low indicates high accuedges in the minimum-cost path, then the resulting segmentation often contains very small segments consisting of only one or two sentences.</S> | Reference Offset:  ['72','73'] | Reference Text:  <S sid = 72 ssid = >Segmentation accuracy is measured by the error metric (equation 6, fa false alarms) proposed in (Beeferman et al., 1999).</S><S sid = 73 ssid = >Low error probability indicates high accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-2004.txt | Citing Article:  P01-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >in Table 3 are slightly different from those listed in Table 6 of Choi's paper (Choi, 2000).</S> | Reference Offset:  ['86','113'] | Reference Text:  <S sid = 86 ssid = >Table 2 presents the experimental results.</S><S sid = 113 ssid = >Table 5 summarises the experimental results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A00-2004.txt | Citing Article:  P01-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >which are implemented in Java (Choi, 2000), due to the difference in programming languages.</S> | Reference Offset:  ['16','116'] | Reference Text:  <S sid = 16 ssid = >Methods for finding the topic boundaries include sliding window (Hearst, 1994), lexical chains (Morris, 1988; Kan et al., 1998), dynamic programming (Ponte and Croft, 1997; Heinonen, 1998), agglomerative clustering (Yaari, 1997) and divisive clustering (Reynar, 1994).</S><S sid = 116 ssid = >The difference in speed is largely due to the programming languages and term clustering strategies.</S> | Discourse Facet:  NA | Annotator: Automatic


