Citance Number: 1 | Reference Article:  P06-1038.txt | Citing Article:  N07-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['56','226'] | Reference Text:  <S sid = 56 ssid = >Again, that paper uses syntactic information.</S><S sid = 226 ssid = >We are planning an evaluation according to this measure after improving the merge stage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1038.txt | Citing Article:  D08-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Section 2, we describe a corpus statistics approach, previously applied for web mining (Davidov and Rappoport, 2006), which we extend for relation discovery.</S> | Reference Offset:  ['127','150'] | Reference Text:  <S sid = 127 ssid = >Instead of running the algorithm of this section on the whole corpus, we divide the corpus into windows of equal size (see Section 5 for size determination) and perform the category discovery algorithm of this section on each window independently.</S><S sid = 150 ssid = >The table below gives some statistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1038.txt | Citing Article:  D08-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To discover them, we use a slightly modified version of the method presented in (Davidov and Rappoport, 2006).</S> | Reference Offset:  ['95','214'] | Reference Text:  <S sid = 95 ssid = >We now use them in order to discover categories.</S><S sid = 214 ssid = >We have presented a novel method for patternbased discovery of lexical semantic categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1038.txt | Citing Article:  D09-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It also significantly outperforms the single-language pattern-based method introduced by (Davidov and Rappoport, 2006), which achieves average precision of 79.3 on a similar set in English (in comparison to 86.7 in this study).</S> | Reference Offset:  ['4','184'] | Reference Text:  <S sid = 4 ssid = >Our method is the first pattern-based method that requires no corpus annotation or manually provided seed patterns or words.</S><S sid = 184 ssid = >Our algorithm clearly outperforms k-means, which outperforms random.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1038.txt | Citing Article:  P08-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Davidov and Rappoport, 2006), we classified words into high-frequency words (HFWs) and content words (CWs).</S> | Reference Offset:  ['0','65'] | Reference Text:  <S sid = 0 ssid = >Efficient Unsupervised Discovery Of Word Categories Using Symmetric Patterns And High Frequency Words</S><S sid = 65 ssid = >In this paper we require that meta-patterns obey the following constraints: (1) at most 4 words; (2) exactly two content words; (3) no two consecutive CWs.</S> | Discourse Facet:  NA | Annotator: Automatic


