Citance Number: 1 | Reference Article:  P08-1043.txt | Citing Article:  C10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, we note that simple weighting gives nearly a 2% F1 improvement, whereas Goldberg and Tsarfaty (2008) found that unweighted lattices were more effective for Hebrew.</S> | Reference Offset:  ['86','99'] | Reference Text:  <S sid = 86 ssid = >A morphological analyzer M : W—* L is a function mapping sentences in Hebrew (W E W) to their corresponding lattices (M(W) = L E L).</S><S sid = 99 ssid = >This is done using a simple PCFG which is lexemebased.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1043.txt | Citing Article:  P11-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goldberg and Tsarfaty (2008) showed that a single model for morphological segmentation and syntactic parsing of Hebrew yielded an error reduction of 12% over the best pipelined models.</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >A Single Generative Model for Joint Morphological Segmentation and Syntactic Parsing</S><S sid = 4 ssid = >Using a treebank grammar, a data-driven lexicon, and a linguistically motivated unknown-tokens handling technique our model outperforms previous pipelined, integrated or factorized systems for Hebrew morphological and syntactic processing, yielding an error reduction of 12% over the best published results so far.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1043.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Adler and Elhadad (2006) presented an HMM-based approach for unsupervised joint morphological segmentation and tagging of Hebrew, and Goldberg and Tsarfaty (2008) developed a joint model of segmentation, tagging and parsing of Hebrew, based on lattice parsing.</S> | Reference Offset:  ['0','82'] | Reference Text:  <S sid = 0 ssid = >A Single Generative Model for Joint Morphological Segmentation and Syntactic Parsing</S><S sid = 82 ssid = >In sequential tagging models such as (Adler and Elhadad, 2006; Bar-Haim et al., 2007; Smith et al., 2005) weights are assigned according to a language model The input for the joint task is a sequence W = w1, ... , wn of space-delimited tokens.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1043.txt | Citing Article:  P11-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goldberg and Tsarfaty (2008) propose a generative joint model.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >A Single Generative Model for Joint Morphological Segmentation and Syntactic Parsing</S><S sid = 3 ssid = >Here we propose a single joint model for performing both morphological segmentation and syntactic disambiguation which bypasses the associated circularity.</S> | Discourse Facet:  NA | Annotator: Automatic


