Citance Number: 1 | Reference Article:  N10-1019.txt | Citing Article:  D10-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon (2010) proposes a hybrid system for preposition and article correction, by incorporating the scores of a language model and class probabilities of a maximum entropy model, both trained on native data, into a meta-classifier that is trained on a smaller amount of annotated ESL data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The meta-classifier takes the output of the primary models (language model scores and class probabilities) as input.</S><S sid = NA ssid = NA>The article meta-classifier can be trained with as few as 600 annotated errors, but the preposition meta-classifier requires more annotated data by an order of magnitude.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N10-1019.txt | Citing Article:  D10-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast to Gamon (2010) and Han et al (2010) that use annotated data for training, the system is trained on native data, but the native data are transformed to be more like L1 data through artificial article errors that mimic the error rates and error patterns of non-native writers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The metaclassifier, in contrast, is trained on a smaller set of error-annotated learner data.</S><S sid = NA ssid = NA>Using Mostly Native Data to Correct Errors in Learners&rsquo; Writing</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N10-1019.txt | Citing Article:  D10-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon (2010) shows precision/recall curves on the combined task of detecting missing, extraneous and confused prepositions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Precision and recall for the error-specific classifier is controlled by thresholding class probability.</S><S sid = NA ssid = NA>Precision and recall for the overall system are controlled by thresholding the meta-classifier class probability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N10-1019.txt | Citing Article:  D10-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon (2010) also considers missing and extraneous preposition errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we eliminated sentences containing nested errors and immediately adjacent errors when they involve pertinent (preposition/article) errors.</S><S sid = NA ssid = NA>In addition, we eliminated all annotations for nonpertinent errors (i.e., non-preposition/article errors, or errors that do not involve any of the targeted prepositions), but we maintained the original (erroneous) text for these.</S> | Discourse Facet:  NA | Annotator: Automatic


