Citance Number: 1 | Reference Article:  C08-1018.txt | Citing Article:  P09-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Different from prior research, Cohn and Lapata (2008) achieved sentence compression using a combination of several operations including word deletion, substitution, insertion, and reordering based on a statistical model, which is similar to our paraphrase generation process.</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Sentence Compression Beyond Word Deletion</S><S sid = 18 ssid = >There are many rewrite operations that could compress a sentence, besides deletion, including reordering, substitution, and inser tion.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C08-1018.txt | Citing Article:  P14-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['103','303'] | Reference Text:  <S sid = 103 ssid = >?he, he?</S><S sid = 303 ssid = >Special thanks to Phil Blunsom, James Clarke and Miles Osborne for their insightful suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C08-1018.txt | Citing Article:  W11-1602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, one may want a text to be shorter (Cohn and Lapata, 2008), tailored to some reader profile (Zhu et al, 2010), compliant with some specific norms (Max, 2004), or more adapted for subsequent machine processing tasks (Chandrasekar et al., 1996).</S> | Reference Offset:  ['36','139'] | Reference Text:  <S sid = 36 ssid = >We hope that some of the work described here might be of relevance to other gen eration tasks such as machine translation (Eisner, 2003), multi-document summarisation (Barzilay, 2003), and text simplification (Carroll et al, 1999).</S><S sid = 139 ssid = >(3) where the subscripts s and m denote slack and margin rescaling, which are different formulations of the training problem (see Tsochantaridis et al (2005) and Taskar et al (2003) for details).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C08-1018.txt | Citing Article:  D10-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Notable exceptions are Cohn and Lapata (2008) and Zhao et al (2009) who present a model that can both compress and paraphrase individual sentences without however generating document-level summaries.</S> | Reference Offset:  ['139','144'] | Reference Text:  <S sid = 139 ssid = >(3) where the subscripts s and m denote slack and margin rescaling, which are different formulations of the training problem (see Tsochantaridis et al (2005) and Taskar et al (2003) for details).</S><S sid = 144 ssid = >In this section we present our extensions of Cohnand Lapata?s (2007) model.</S> | Discourse Facet:  NA | Annotator: Automatic


