Citance Number: 1 | Reference Article:  C08-1109.txt | Citing Article:  C10-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The accuracy of the choice classifier, the part of the system to which the work at hand is most similar, is 62.32% when tested on text from Encarta and Reuters news. Tetreault and Chodorow (2008a) present a system for detecting preposition errors in learner text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Classifier performance is poor in such cases because the classifier was trained on well-edited text, i.e., without misspelled words.</S><S sid = NA ssid = NA>It is interesting to note that the most common usage errors by learners overwhelmingly involved the ten most frequently occurring prepositions in native text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C08-1109.txt | Citing Article:  W10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Tetreault and Chodorow, 2008b) challenged the view that using one rater is adequate by showing that preposition usage errors actually do not have high inter-annotator reliability.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3.2 Reliability.</S><S sid = NA ssid = NA>What these two evaluation methods have in common is that they side-step the issue of annotator reliability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C08-1109.txt | Citing Article:  W10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is mostly due to the fact that learner corpora are difficult to acquire (and then annotate), but also to the fact that they are 1 (Tetreault and Chodorow, 2008b) report that it would take 80hrs for one of their trained raters to find and mark 1,000 preposition errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The original corpus totaled over 22,000 prepositions which would normally take several weeks for two raters to double annotate and thenadjudicate.</S><S sid = NA ssid = NA>and ?OK? sub corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C08-1109.txt | Citing Article:  W10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Examples include the Cambridge Learners Corpus2 used in (Felice and Pullman, 2009), and TOEFL data, used in (Tetreault and Chodorow, 2008a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From our annotated set of preposition errors, we found that the most common prepositions that learners used incorrectly were in (21.4%), to (20.8%) and of (16.6%).</S><S sid = NA ssid = NA>In addition, while our methodology is used for evaluating a system, active learning is commonly used for training a system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C08-1109.txt | Citing Article:  W10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Tetreault and Chodorow, 2008b) showed that trained human raters can achieve very high agreement (78%) on this task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our results showed only about75% agreement between the two raters, and be tween each of our raters and Encarta.The presence of so much variability in prepo sition function and usage makes the task of thelearner a daunting one.</S><S sid = NA ssid = NA>human rater.</S> | Discourse Facet:  NA | Annotator: Automatic


