Citance Number: 1 | Reference Article:  P96-1042.txt | Citing Article:  W97-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['72','196'] | Reference Text:  <S sid = 72 ssid = >The maximum likelihood estimate for each of the multinomial's distribution parameters, ai, is & = .</S><S sid = 196 ssid = >The first author gratefully acknowledges the support of the Fulbright Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P96-1042.txt | Citing Article:  W03-0403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Active learning has been successfully applied to a number of natural language oriented tasks, including text categorization (Lewis and Gale, 1994) and part-of-speech tagging (Engelson and Dagan, 1996).</S> | Reference Offset:  ['25','87'] | Reference Text:  <S sid = 25 ssid = >The paper compares the performance of several instantiations of the general scheme, including a batch selection method similar to that of Lewis and Gale (1994).</S><S sid = 87 ssid = >Previous research in sample selection has used either sequential selection (Seung, Opper, and Sompolinsky, 1992; Freund et al., 1993; Dagan and Engelson, 1995), or batch selection (Lewis and Catlett, 1994; Lewis and Gale, 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P96-1042.txt | Citing Article:  W07-1516.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Engelson and Dagan (1996) experimented with QBC using HMMs for POS tagging and found that selective sampling of sentences can significantly reduce the number of samples required to achieve desirable tag accuracies.</S> | Reference Offset:  ['41','123'] | Reference Text:  <S sid = 41 ssid = >In bigram part-of-speech tagging the HMM model M contains three types of parameters: transition probabilities P(ti—t) giving the probability of tag tj occuring after tag ti, lexical probabilities P(t1w) giving the probability of tag t labeling word w, and tag probabilities P(t) giving the marginal probability of a tag occurring.2 The values of these parameters are estimated from a tagged corpus which provides a training set of labeled examples (see Section 4.1).</S><S sid = 123 ssid = >We compare the amount of training required by different selection methods to achieve a given tagging accuracy on the test set, where both the amount of training and tagging accuracy are measured over ambiguous words.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P96-1042.txt | Citing Article:  W09-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In all experiments, the agreement among the decision committee members is quantified by the Vote Entropy measure (Engelson and Dagan, 1996).</S> | Reference Offset:  ['101','103'] | Reference Text:  <S sid = 101 ssid = >Our approach to measuring disagreement is to use the vote entropy, the entropy of the distribution of classifications assigned to an example ('voted for') by the committee members.</S><S sid = 103 ssid = >Vote entropy is maximized when all committee members disagree, and is zero when they all agree.</S> | Discourse Facet:  NA | Annotator: Automatic


