Citance Number: 1 | Reference Article:  J97-3002.txt | Citing Article:  P98-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The work reported in Wu (1997), which uses an inside-outside type of training algorithm to learn statistical context free transduction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our transduction model is context-free, rather than finite-state.</S><S sid = NA ssid = NA>We have been using a lexicon that was automatically learned from the HKUST English-Chinese Parallel Bilingual Corpus via statistical sentence alignment (Wu 1994) and statistical Chinese word and collocation extraction (Fung and Wu 1994; Wu and Fung 1994), followed by an EM word-translation-learning procedure (Wu and Xia 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J97-3002.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The empirical adequacy of synchronous context-free grammars of rank two (2-SCFGs) (Satta and Peserico, 2005), used in syntax based machine translation systems such as Wu (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The third column shows the number of all possible complete matchings between two constituents with a rank of r subconstituents each (therefore this is also the behavior for unconstrained context-free (syntax-directed) transduction grammars).</S><S sid = NA ssid = NA>Growth in number of legal complete subconstituent matchings for context-free (syntax-directed) transduction grammars with rank r, versus ITGs on a pair of subconstituent sequences of length r each.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J97-3002.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this paper it is shown that the synchronous grammars used in Wu (1997), Zhang et al (2006) and Chiang (2007) are not expressive enough to do that.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The usual Chinese NLP architecture first preprocesses input text through a word segmentation module (Chiang et al. 1992; Lin, Chiang, and Su 1992, 1993; Chang and Chen 1993; Wu and Tseng 1993; Sproat et al.</S><S sid = NA ssid = NA>Parallel bilingual corpora have been shown to provide a rich source of constraints for statistical analysis (Brown et al. 1990; Gale and Church 1991; Gale, Church, and Yarowsky 1992; Church 1993; Brown et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J97-3002.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I would like to thank Xuanyin Xia, Eva Wai-Man Fong, Pascale Fung, and Derick Wood, as well as an anonymous reviewer whose comments were of great value.</S><S sid = NA ssid = NA>Below we survey the most common constraints and discuss their relation to ITGs.</S> | Discourse Facet:  NA | Annotator: Automatic


