Citance Number: 1 | Reference Article:  H05-1115.xml | Citing Article:  P09-1083.xml | Citation Marker Offset:  ['60'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['60'] | Citation Text:  <S sid ="60" ssid = "6">Considering Question Topic: We first introduce how to incorporate the question topic into the Markov Random Walk model, which is similar as the Topic-sensitive LexRank (Otterbacher et al., 2005).</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 2 | Reference Article:  H05-1115.xml | Citing Article:  P09-1083.xml | Citation Marker Offset:  ['85'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['85'] | Citation Text:  <S sid ="85" ssid = "31">Its weight twij is calculated by tf · idf (Otterbacher et al., 2005).</S> | Reference Offset:  ['56'] | Reference Text:  <S sid ="56" ssid = "13">In topic-sensitive LexRank, we first stem all of thesentences in a set of articles and compute word IDFsby the following formula:</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 3 | Reference Article:  H05-1115.xml | Citing Article:  P09-1083.xml | Citation Marker Offset:  ['43'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['43'] | Citation Text: <S sid ="43" ssid = "14">includingfact-based QA and text summarization (Erkan andRadev, 2004; Mihalcea and Tarau, 2004; Otter-bacher et al., 2005; Wan and Yang, 2008).</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 4 | Reference Article:  H05-1115.xml | Citing Article:  N06-1027.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  ['41'] | Citation Text:  <S sid ="41" ssid = "7">and sentence retrieval for question answering (Otterbacher et al., 2005).</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 5 | Reference Article:  H05-1115.xml | Citing Article:  C08-1062.xml | Citation Marker Offset:  ['83'] | Citation Marker:  OtterBacher et al., 2005 | Citation Offset:  ['83'] | Citation Text:  <S sid ="83" ssid = "83">These algorithms are all based on the query-sensitive LexRank (OtterBacher et al., 2005).</S> | Reference Offset:  ['36'] | Reference Text:  <S sid ="36" ssid = "1">Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


