Citance Number: 1 | Reference Article:  C04-1024.txt | Citing Article:  W05-1512.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For parsing, we mapped all unknown words to unknown word symbols, and applied the Viterbi algorithm as implemented in Schmid (2004), exploiting its ability to deal with highly-ambiguous grammars.</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >Efficient Parsing Of Highly Ambiguous Context-Free Grammars With Bit Vectors</S><S sid = 6 ssid = >The application of standard chart-parsing techniques often fails due to excessive memory and runtime requirements.Treebank grammars are mostly used as probabilis tic grammars and users are usually only interested in the best analysis, the Viterbi parse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1024.txt | Citing Article:  P13-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The starred results are statistically significant improvements over the Baseline (at confidence p > 0.05). English side of the bilingual data was parsed using the Charniak parser of Charniak and Johnson (2005), and the German side was parsed using BitPar (Schmid, 2004) without the function and morphological annotations.</S> | Reference Offset:  ['7','18'] | Reference Text:  <S sid = 7 ssid = >To speed up Viterbi parsing, sophisticated search strategies havebeen developed which find the most probable anal ysis without examining the whole set of possible analyses (Charniak et al, 1998; Klein and Manning,2003a).</S><S sid = 18 ssid = >3), improvements of the recogniser by means of bit-vector op erations (Sec.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1024.txt | Citing Article:  E12-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The key linguistic knowledge sources that we use are morphological analysis and generation of German based on SMOR, a morphological analyzer/generator of German (Schmid et al 2004) and the BitPar parser, which is a state-of-the-art parser of German (Schmid, 2004).</S> | Reference Offset:  ['1','19'] | Reference Text:  <S sid = 1 ssid = >An efficient bit-vector-based CKY-style parser for context-free parsing is presented.</S><S sid = 19 ssid = >4), and the generation of parse forests(Sec.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1024.txt | Citing Article:  C08-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a frequency-based notation because we use out of-the-box software Bitpar (Schmid, 2004) which implements inside-outside estimation Bitpar reads in frequency models and converts them to relative frequency models.</S> | Reference Offset:  ['1','9'] | Reference Text:  <S sid = 1 ssid = >An efficient bit-vector-based CKY-style parser for context-free parsing is presented.</S><S sid = 9 ssid = >The parser described in this paper follows a contrary approach: instead of reducing the number of edges, it minimises the costs of building edges in terms of memory and runtime.The new parser, called BitPar, is based on a bit vector implementation (cf.</S> | Discourse Facet:  NA | Annotator: Automatic


