Citance Number: 1 | Reference Article:  P09-1104.txt | Citing Article:  P14-1139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This directional model has been shown produce state-of-the art results with this setup (Haghighi et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>No model significantly improves over the HMM alone, which is consistent with the results of Taskar et al. (2005).</S><S sid = NA ssid = NA>Initially, as in Taskar et al. (2005) and Moore et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1104.txt | Citing Article:  P11-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to reduce spurious derivations, Wu (1997), Haghighi et al (2009), Liu et al (2010) propose different variations of the grammar.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Initially, as in Taskar et al. (2005) and Moore et al.</S><S sid = NA ssid = NA>Wu (1997)’s inversion transduction grammar (ITG) is a synchronous grammar formalism in which derivations of sentence pairs correspond to alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1104.txt | Citing Article:  P11-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi et al (2009) give some restrictions on null-aligned word attachment.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Null productions are also a source of double counting, as there are many possible orders in which to attach null alignments to a bitext cell; we address this by adapting the grammar to force a null attachment order.</S><S sid = NA ssid = NA>(2006), we assume the score a of a potential alignment a) decomposes as where sij are word-to-word potentials and siE and sEj represent English null and foreign null potentials, respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1104.txt | Citing Article:  P11-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Four grammars were used to parse these alignments, namely LG (Wu, 1997), HaG (Haghighi et al, 2009), LiuG (Liu et al, 2010) and LGFN (Section 3.3).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Initially, as in Taskar et al. (2005) and Moore et al.</S><S sid = NA ssid = NA>The set of such ITG alignments, AITG, are a strict subset of A1-1 (Wu, 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P09-1104.txt | Citing Article:  P11-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To further study how spurious ambiguity affects the discriminative learning, we implemented a frame work following Haghighi et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Past work on discriminative word alignment has focused on the family of at-most-one-to-one matchings (Melamed, 2000; Taskar et al., 2005; Moore et al., 2006).</S><S sid = NA ssid = NA>In this work, we investigate large-scale, discriminative ITG word alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


