Citance Number: 1 | Reference Article:  W08-2102.txt | Citing Article:  P09-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This strategy is similar to the one employed by Carreras et al (2008) to prune the search space of the actual parser.</S> | Reference Offset:  ['26','107'] | Reference Text:  <S sid = 26 ssid = >We describe a method that leverages a simple, first-order dependency parser to restrict the search space of the TAG parser in training and testing.</S><S sid = 107 ssid = >To deal with this problem, we use a simple initial model to prune the search space of the more complex model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W08-2102.txt | Citing Article:  P13-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['87','176'] | Reference Text:  <S sid = 87 ssid = >Next, consider combining the left and right structures of a spine.</S><S sid = 176 ssid = >Thanks to Jenny Rose Finkel for suggesting that we evaluate dependency parsing accuracies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W08-2102.txt | Citing Article:  W12-3412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach can be seen as trade-off between phrase based reranking experiments (Collins, 2000) and the approach of Carreras et al (2008) where a discriminative model is used to score lexical features representing unlabelled dependencies in the Tree Adjoining Grammar formalism.</S> | Reference Offset:  ['4','151'] | Reference Text:  <S sid = 4 ssid = >We show that efficient training is feasible, using a Tree Adjoining Grammar (TAG) based parsing formalism.</S><S sid = 151 ssid = >We would argue that the Collins (2000) method is considerably more complex than ours, requiring a first-stage generative model, together with a reranking approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W08-2102.txt | Citing Article:  W12-3412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our system also compares favourably with the system of Carreras et al (2008) that relies on a more complex generative model, namely Tree Adjoining Grammars, and the system of Suzuki et al (2009) that makes use of external data (unannotated text).</S> | Reference Offset:  ['41','157'] | Reference Text:  <S sid = 41 ssid = >Recent work (Petrov et al., 2007; Finkel et al., 2008) describes log-linear GLMs applied to PCFG representations, but does not make use of dependency features.</S><S sid = 157 ssid = >Finally, other recent work (Petrov et al., 2007; Finkel et al., 2008) has had a similar goal of scaling GLMs to full syntactic parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


