Citance Number: 1 | Reference Article:  W07-2016.txt | Citing Article:  P08-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We call this setting 'SemEval' because the SemEval-2007 competition (Pradhan et al, 2007) was performed using this configuration.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 1 ssid = >This paper describes our experience in preparing the data and evaluating the results for three subtasks of SemEval-2007 Task-17 ? Lexical Sample, Semantic Role Labeling(SRL) and All-Words respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-2016.txt | Citing Article:  P14-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Various aspects of the model discussed in Section 3 are evaluated in the English lexical sample tasks from Senseval2 (Edmonds and Cotton, 2001) and SemEval2007 (Pradhan et al, 2007).</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 26 ssid = >2.2 OntoNotes English Lexical Sample WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-2016.txt | Citing Article:  E09-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Various aspects of the model discussed in Section 3 are evaluated in the English lexical sample tasks from Senseval2 (Edmonds and Cotton, 2001) and SemEval2007 (Pradhan et al, 2007).</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 26 ssid = >2.2 OntoNotes English Lexical Sample WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-2016.txt | Citing Article:  E09-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Given that the WSD literature shows that all features are necessary for optimal performance (Pradhan et al, 2007), we propose the following alternative to construct the matrix.</S> | Reference Offset:  ['43','65'] | Reference Text:  <S sid = 43 ssid = >Table 3 shows the Precision/Recall for all these systems.</S><S sid = 65 ssid = >Table 1: System Performance for the All-Words task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W07-2016.txt | Citing Article:  W09-2410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We experiment with all the standard data sets, namely, Senseval 2 (SV2) (M. Palmer and Dang, 2001), Senseval 3 (SV3) (Snyder and Palmer, 2004), and SEMEVAL (SM) (Pradhan et al, 2007) English All Words data sets.</S> | Reference Offset:  ['0','119'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 119 ssid = >3.1 Data.</S> | Discourse Facet:  NA | Annotator: Automatic


