Citance Number: 1 | Reference Article:  W11-1801.txt | Citing Article:  W11-1828.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the current BioNLP 11 Shared Task1 (Kim et al, 2011), we demonstrate its generalizability to different event extraction tasks by applying what is, to a large extent, the same system to every single task and subtask.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S><S sid = NA ssid = NA>Overview of BioNLP Shared Task 2011</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W11-1801.txt | Citing Article:  W11-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The BioNLP Shared Task 2011 (BioNLP ST 11) (Kim et al, 2011a), the follow-up event to the BioNLP 09 Shared Task (Kim et al, 2009), was organized from August 2010 (sample data release) to March 2011.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S><S sid = NA ssid = NA>Overview of BioNLP Shared Task 2011</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W11-1801.txt | Citing Article:  W11-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For compatibility with the BioNLP ST 09 and its repeat as the GE task in 2011 (Kim et al, 2011b), the REL task training/development/test set division of the GENIA corpus abstracts matches that of the BioNLP ST? 09 data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S><S sid = NA ssid = NA>As the second event of the series, BioNLP-ST 2011 preserves the general design and goals of the previous event, but adds a new focus on variability to address a limitation of BioNLP-ST 2009: the benchmark data sets were based on the Genia corpus (Kim et al., 2008), restricting the community-wide effort to resources developed by a single group for a small subdomain of molecular biology.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W11-1801.txt | Citing Article:  W11-1808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To date, most approaches to the BioNLP event extraction task (Kim et al, 2011a) use a single model to produce their output.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S><S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


