Citance Number: 1 | Reference Article:  A00-2019.txt | Citing Article:  P06-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, Chodorow and Leacock (2000) point out that the word concentrate is usually used as a noun in a general corpus whereas it is a verb 91% of the time in essays written by non-native learners of English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, in the newspaper domain, concentrate is usually used as a noun, as in orange juice concentrate but in TOEFL essays it is a verb 91% of the time.</S><S sid = NA ssid = NA>ALEK also looks for sequences that are common in general but unusual in the word specific corpus (e.g., the singular determiner a preceding a singular noun is common in English but rare when the noun is specific corpora, we tried to minimize the mismatch between the domains of newspapers and TOEFL essays.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-2019.txt | Citing Article:  W07-1607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chodorow and Leacock (2000) try to identify errors on the basis of context, as we do here, and more specifically a 2 word window around the word of interest, from which they consider function words and POS tags.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It uses two kinds of contextual cues in a ±2 word window around the target word: function words (closed-class items) and part-of-speech tags (Brill, 1994).</S><S sid = NA ssid = NA>They identify the intended sense of a word in a novel sentence by extracting its contextual cues and selecting the most similar word sense model (e.g., Leacock, Chodorow and Miller (1998), Yarowsky (1993)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-2019.txt | Citing Article:  D07-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>N-gram-based approaches to the problem of error detection have been proposed and implemented in various forms by Atwell (1987), Bigert and Knutsson (2002), and Chodorow and Leacock (2000) amongst others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We take a different approach, initially viewing error detection as an extension of the word sense disambiguation (WSD) problem.</S><S sid = NA ssid = NA>Unfortunately, this approach was not effective for error detection.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-2019.txt | Citing Article:  D07-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chodorow and Leacock (2000) use a mutual information measure in addition to raw frequency of n grams.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here we use this measure for the opposite purpose — to find combinations that occur less often than expected.</S><S sid = NA ssid = NA>From the general corpus, ALEK computes a mutual information measure to determine which sequences of part-of-speech tags and function words are unusually rare and are, therefore, likely to be ungrammatical in English (e.g., singular determiner preceding plural noun, as in *a desks).</S> | Discourse Facet:  NA | Annotator: Automatic


