Citance Number: 1 | Reference Article:  N06-1039.txt | Citing Article:  L08-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work is related to previous work on domain independent unsupervised relation extraction, in particular Sekine (2006), Shinyama and Sekine (2006) and Banko et al (2007).</S> | Reference Offset:  ['11','17'] | Reference Text:  <S sid = 11 ssid = >First, it is hard to estimate how good the system can be after months of work.</S><S sid = 17 ssid = >There are many existing works on obtaining extraction patterns for pre-defined relations (Riloff, 1996; Yangarber et al., 2000; Agichtein and Gravano, 2000; Sudo et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-1039.txt | Citing Article:  L08-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shinyama and Sekine (2006) apply NER, coreference resolution and parsing to a corpus of newspaper articles to extract two-place relations between NEs.</S> | Reference Offset:  ['82','116'] | Reference Text:  <S sid = 82 ssid = >Then we apply cross-document coreference resolution to connect entities of different articles within a basic cluster.</S><S sid = 116 ssid = >In parallel with parsing and GLARFing, we also apply NE tagging and coreference resolution for each article in a basic cluster.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-1039.txt | Citing Article:  L08-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Like Sekine (2006) and Shinyama and Sekine (2006), we concentrate on relations involving NEs, the assumption being that these relations are the potentially interesting ones.</S> | Reference Offset:  ['59','70'] | Reference Text:  <S sid = 59 ssid = >To obtain such relations, we need to choose different entities from the articles.</S><S sid = 70 ssid = >In addition, we use the frequency of each basic pattern to compute the similarity of relations, since basic patterns like “say” or “have” appear in almost every article and it is dangerous to rely on such expressions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-1039.txt | Citing Article:  D12-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inference rules are an important building block of many semantic applications, such as Question Answering (Ravichandran and Hovy, 2002) and Information Extraction (Shinyama and Sekine, 2006).</S> | Reference Offset:  ['1','60'] | Reference Text:  <S sid = 1 ssid = >surface text patterns for a question answering system. of the 40th Annual Meeting of the As</S><S sid = 60 ssid = >Several existing works have tried to extract a certain type of relation by manually choosing different pairs of entities (Brin, 1998; Ravichandran and Hovy, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


