Citance Number: 1 | Reference Article:  P03-1002.txt | Citing Article:  D09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['57','183'] | Reference Text:  <S sid = 57 ssid = >− POSITION (pos) − Indicates if the constituent appears before or after the the predicate in the sentence.</S><S sid = 183 ssid = >The performance degradation of this paradigm when compared to IE systems based on hand-crafted patterns is only 10%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1002.txt | Citing Article:  P11-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Indeed, the analysis produced by existing semantic role labelers has been shown to benefit a wide spectrum of applications ranging from information extraction (Surdeanu et al, 2003) and question answering (Shen and Lapata, 2007), to machine translation (Wu and Fung, 2009) and summarization (Melli et al, 2005).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 18 ssid = >Some of the most recent methods were reported in (Riloff, 1996; Yangarber et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1002.txt | Citing Article:  H05-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The benefit of semantic roles has already been demonstrated for a number of tasks, among others for machine translation (Boas, 2002), information extraction (Surdeanu et al, 2003), and question answering (Narayanan and Harabagiu, 2004).</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 47 ssid = >In previous work using the PropBank corpus, (Gildea and Palmer, 2002) proposed a model predicting argument roles using the same statistical method as the one employed by (Gildea and Jurafsky, 2002) for predicting semantic roles based on the FrameNet corpus (Baker et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1002.txt | Citing Article:  P05-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a semantic parser (described in (Surdeanu et al, 2003)) that recognizes predicate-argument structures.</S> | Reference Offset:  ['0','139'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 139 ssid = >The parses are also used by a module that recognizes predicate argument structures with any of the methods described in Section 2.</S> | Discourse Facet:  NA | Annotator: Automatic


