Citance Number: 1 | Reference Article:  P06-4020.txt | Citing Article:  W07-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Its main components are the Conditional Random Fields toolkit MALLET (McCallum, 2002) and the RASP syntactic parsing toolkit (Briscoe et al, 2006), which are both publicly available.</S> | Reference Offset:  ['1','5'] | Reference Text:  <S sid = 1 ssid = >We describe the new release of the RASP (robust accurate statistical parsing) system, designed for syntactic annotation of free text.</S><S sid = 5 ssid = >Briscoe & Carroll (2002) give further details about the first release.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-4020.txt | Citing Article:  W07-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In brief, the abstracts of 16,609 articles curated by FlyBase were retrieved and tokenized by RASP (Briscoe et al, 2006).</S> | Reference Offset:  ['6','61'] | Reference Text:  <S sid = 6 ssid = >Briscoe (2006) provides references and more information about extant use of RASP and fully describes the modifications discussed more briefly here.</S><S sid = 61 ssid = >Briscoe and Carroll (2006) discuss issues raised by this reannotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-4020.txt | Citing Article:  N10-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parameters of the model were estimated from the British National Corpus that was parsed using the RASP parser of Briscoe et al (2006).</S> | Reference Offset:  ['50','71'] | Reference Text:  <S sid = 50 ssid = >The probabilities of actions in the LR table are computed using bootstrapping methods which utilise an unlabelled bracketing of the Susanne Treebank (Watson et al., 2006).</S><S sid = 71 ssid = >On the reannotated DepBank, the system achieves a microaveraged F1 score of 76.3% across all relations, using our new training method (Watson et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-4020.txt | Citing Article:  W08-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parsed the corpus with Rasp (Briscoe et al, 2006) and with the Stanford PCFG parser (Klein & Manning, 2003).</S> | Reference Offset:  ['60','72'] | Reference Text:  <S sid = 60 ssid = >The new system has been evaluated using our reannotation of the PARC dependency bank (DepBank; King et al., 2003)—consisting of 560 sentences chosen randomly from section 23 of the Wall Street Journal—with grammatical relations compatible with our system.</S><S sid = 72 ssid = >Briscoe and Carroll (2006) show that the system has equivalent accuracy to the PARC XLE parser when the morphosyntactic features in the original DepBank gold standard are taken into account.</S> | Discourse Facet:  NA | Annotator: Automatic


