Citance Number: 1 | Reference Article:  P07-1049.txt | Citing Article:  C08-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Seginer (2007) has an incremental parsing approach using a novel representation called common-cover-links, which can be converted to constituent brackets.</S> | Reference Offset:  ['2','14'] | Reference Text:  <S sid = 2 ssid = >The parser uses a representation for syntactic structure similar to dependency links which is well-suited for incremental parsing.</S><S sid = 14 ssid = >The parser is incremental, using a new link representation for syntactic structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1049.txt | Citing Article:  P14-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, we also analyze CCM's sensitivity to initialization, and compare our results to Seginer's algorithm (Seginer, 2007).</S> | Reference Offset:  ['20','23'] | Reference Text:  <S sid = 20 ssid = >This step becomes superfluous in the algorithm I present here: the algorithm collects lists of labels for each word, based on neighboring words, and then directly uses these labels to parse.</S><S sid = 23 ssid = >Section 6 gives experimental results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1049.txt | Citing Article:  P14-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also compare our method to the algorithm of Seginer (2007).</S> | Reference Offset:  ['20','90'] | Reference Text:  <S sid = 20 ssid = >This step becomes superfluous in the algorithm I present here: the algorithm collects lists of labels for each word, based on neighboring words, and then directly uses these labels to parse.</S><S sid = 90 ssid = >It is the task of the learning algorithm to learn the lexicon.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1049.txt | Citing Article:  D11-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parser of Seginer (2007) performs slightly better on CTB 5.0 sentences no more than 10 words, but obviously falls behind on sentences no more than 40 words.</S> | Reference Offset:  ['21','67'] | Reference Text:  <S sid = 21 ssid = >No clustering is performed, but due to the Zipfian distribution of words, high frequency words dominate these lists and parsing decisions for words of similar distribution are guided by the same labels.</S><S sid = 67 ssid = >Words which have not yet been read are not available to the parser at this stage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-1049.txt | Citing Article:  W09-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','156'] | Reference Text:  <S sid = 48 ssid = >For each representative subset R C_ this defines a unique shortest common cover link set (see figure 1(c)).</S><S sid = 156 ssid = >The same conclusion cannot be drawn from a negative value for the In property when l = (w, 1) because, as with standard dependencies, a word determines its outbound links much more strongly than its inbound links.</S> | Discourse Facet:  NA | Annotator: Automatic


