Citance Number: 1 | Reference Article:  D07-1101.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Carreras (2007) extends the first-order model to incorporate a sum over scores for pairs of adjacent arcs in the tree, yielding a second-order model.</S> | Reference Offset:  ['34','91'] | Reference Text:  <S sid = 34 ssid = >The first-order model scores a factor as score1(w,x, ?h, m, l?)</S><S sid = 91 ssid = >The first is a first-order model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1101.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Carreras (2007) employs his own extension of Eisner's algorithm for the case of projective trees and second-order models that include head grandparent relations.</S> | Reference Offset:  ['3','52'] | Reference Text:  <S sid = 3 ssid = >We extend the projective pars ing algorithm of Eisner (1996) for our case,and train models using the averaged perceptron.</S><S sid = 52 ssid = >In this section we sketch an extension of the projective dynamic programming algorithm of Eisner (1996; 2000) for the higher-order model defined above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1101.txt | Citing Article:  W10-1404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['118','119'] | Reference Text:  <S sid = 118 ssid = >The author was supported by the Catalan Ministry of Innovation, Universities and Enterprise.</S><S sid = 119 ssid = >960</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1101.txt | Citing Article:  W10-1404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['118','119'] | Reference Text:  <S sid = 118 ssid = >The author was supported by the Catalan Ministry of Innovation, Universities and Enterprise.</S><S sid = 119 ssid = >960</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D07-1101.txt | Citing Article:  D08-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['118','119'] | Reference Text:  <S sid = 118 ssid = >The author was supported by the Catalan Ministry of Innovation, Universities and Enterprise.</S><S sid = 119 ssid = >960</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D07-1101.txt | Citing Article:  W09-1218.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To reap the benefits of these advances, we use a higher-order projective dependency parsing algorithm (Carreras, 2007) which is an extension of the span-based parsing algorithm (Eisner, 1996), for syntactic dependency parsing.</S> | Reference Offset:  ['51','52'] | Reference Text:  <S sid = 51 ssid = >2.1 Parsing Algorithm.</S><S sid = 52 ssid = >In this section we sketch an extension of the projective dynamic programming algorithm of Eisner (1996; 2000) for the higher-order model defined above.</S> | Discourse Facet:  NA | Annotator: Automatic


