Citance Number: 1 | Reference Article:  W06-3119.txt | Citing Article:  W06-3114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our translation system is available opensource under the GNU General Public License at: www.cs.cmu.edu/˜zollmann/samt</S><S sid = NA ssid = NA>The grammar extracted from this evaluation’s training data contains 75 nonterminals in our standard system, and 4000 nonterminals in the extended-category system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-3119.txt | Citing Article:  P13-2069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other models use more syntactic information (string-to-tree, tree to-string, tree-to-tree, string-to-dependency etc.) to capture the structural difference between language pairs, including (Yamada and Knight, 2001), (Zollmann and Venugopal, 2006), (Liu et. al. 2006), and (Shen et. al. 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recent work in machine translation has evolved from the traditional word (Brown et al., 1993) and phrase based (Koehn et al., 2003a) models to include hierarchical phrase models (Chiang, 2005) and bilingual synchronous grammars (Melamed, 2004).</S><S sid = NA ssid = NA>Phrase pairs that do not correspond to a span in the parse tree are given a default category 'X', and can still play a role in the decoding process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-3119.txt | Citing Article:  W10-1718.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular we have added support for Zollmann and Venugopal (2006)'s syntax-augmented machine translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Syntax Augmented Machine Translation Via Chart Parsing</S><S sid = NA ssid = NA>We present translation results on the shared task ”Exploiting Parallel Texts for Statistical Machine Translation” generated by a chart parsing decoder operating on phrase tables augmented and generalized with target language syntactic categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-3119.txt | Citing Article:  W11-2160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thrax extracts both hierarchical (Chiang, 2007) and syntax-augmented machine translation (Zollmann and Venugopal, 2006) grammars.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Syntax Augmented Machine Translation Via Chart Parsing</S><S sid = NA ssid = NA>Recent work in machine translation has evolved from the traditional word (Brown et al., 1993) and phrase based (Koehn et al., 2003a) models to include hierarchical phrase models (Chiang, 2005) and bilingual synchronous grammars (Melamed, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


