Citance Number: 1 | Reference Article:  P11-1061.txt | Citing Article:  P11-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Subramanya et al's model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers.</S> | Reference Offset:  ['18','38'] | Reference Text:  <S sid = 18 ssid = >To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid = 38 ssid = >More recently, Subramanya et al. (2010) defined a graph over the cliques in an underlying structured prediction model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P11-1061.txt | Citing Article:  P11-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To this end, we use a variant of the quadratic cost criterion of Bengio et al (2006), also used by Subramanya et al (2010) and Das and Petrov (2011).</S> | Reference Offset:  ['12','47'] | Reference Text:  <S sid = 12 ssid = >Naseem et al. (2009) and Snyder et al.</S><S sid = 47 ssid = >Our monolingual similarity function (for connecting pairs of foreign trigram types) is the same as the one used by Subramanya et al. (2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P11-1061.txt | Citing Article:  P14-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fortunately, some recently proposed POS taggers, such as the POS tagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach.</S> | Reference Offset:  ['1','24'] | Reference Text:  <S sid = 1 ssid = >We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data, but have translated text in a resource-rich language.</S><S sid = 24 ssid = >The focus of this work is on building POS taggers for foreign languages, assuming that we have an English POS tagger and some parallel text between the two languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P11-1061.txt | Citing Article:  N12-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning of POS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid = 18 ssid = >To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S> | Discourse Facet:  NA | Annotator: Automatic


