Citance Number: 1 | Reference Article:  J98-2005.txt | Citing Article:  P06-1109.txt | Citation Marker Offset:  [] | Citation Marker:  Chi and Geman 1998 | Citation Offset:  [] | Citation Text:  a treebank PCFG whose simple relative frequency estimator corresponds to maximum likelihood (Chi and Geman 1998) | Reference Offset:  ['16', '17'] | Reference Text:  If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 2 | Reference Article:  J98-2005.txt | Citing Article:  N06-1043.txt | Citation Marker Offset:  [] | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  [] | Citation Text:  The line of our argument below follows a proof provided in (Chi and Geman, 1998) for the maximum likelihood estimator based on finite tree distributions | Reference Offset:  ['17'] | Reference Text:  We will show that in both cases the estimated probability is tight | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 3 | Reference Article:  J98-2005.txt | Citing Article:  N06-1043.txt | Citation Marker Offset:  [] | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  [] | Citation Text:  Such maximization provides the estimator (see for instance (Chi and Geman, 1998)) | Reference Offset:  ['45'] | Reference Text:  The maximum-likelihood estimator is the natural, "relative frequency," estimator | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 4 | Reference Article:  J98-2005.txt | Citing Article:  N06-1043.txt | Citation Marker Offset:  [] | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  [] | Citation Text:  This result has been firstly shown in (Chi and Geman, 1998) | Reference Offset:  ['16', '17'] | Reference Text:  If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 5 | Reference Article:  J98-2005.txt | Citing Article:  J01-2004.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  [] | Citation Text:  Chi and Geman (1998) proved that any PCFG estimated from a treebank with the relative frequency estimator is tight | Reference Offset:  ['17'] | Reference Text:  We will show that in both cases the estimated probability is tight | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 6 | Reference Article:  J98-2005.txt | Citing Article:  N03-1027.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  [] | Citation Text:  Chi and Geman (1998) proved that this condition is met if the rule probabilities are estimated using relative frequency estimation from a corpus | Reference Offset:  ['45'] | Reference Text:  The maximum-likelihood estimator is the natural, "relative frequency" estimator | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


