Citance Number: 1 | Reference Article:  J98-2005.xml | Citing Article:  P06-1109.xml | Citation Marker Offset:  ['112'] | Citation Marker:  Chi and Geman 1998 | Citation Offset:  ['112'] | Citation Text: <S sid ="112" ssid = "19">a treebank PCFG whose simple relativefrequency estimator corresponds to maximumlikelihood (Chi and Geman 1998), and which weshall refer to as &quot;MLPCFG&quot;.</S> | Reference Offset:  ['16', '17'] | Reference Text:  <S sid ="16" ssid = "16">If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG&apos;s assign some mass to infinite trees?</S><S sid ="17" ssid = "17">We will show that in both cases the estimated probability is tight.</S> | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 2 | Reference Article:  J98-2005.xml | Citing Article:  N06-1043.xml | Citation Marker Offset:  ['85'] | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  ['85'] | Citation Text:  <S sid ="85" ssid = "43">Theline of our argument below follows a proof providedin (Chi and Geman, 1998) for the maximum like lihood estimator based on finite tree distributions.</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">We will show that in both cases the estimated probability is tight.</S> | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 3 | Reference Article:  J98-2005.xml | Citing Article:  N06-1043.xml | Citation Marker Offset:  ['159'] | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  ['159'] | Citation Text:  <S sid ="159" ssid = "14">Such maximization provides the estimator (see for instance (Chi and Geman, 1998)) pG(A? a) =f(A? a, T ) f(A, T ).</S> | Reference Offset:  ['45'] | Reference Text:  <S sid ="45" ssid = "9">(8~fl)ea ~(B --~/3) = ~=lf(B --~/3;cai) (3) c~ s.t. H &lt;B-~)e~ ~i=lf(B ---+o4cai) The maximum-likelihood estimator is the natural, &quot;relative frequency,&quot; estimator.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 4 | Reference Article:  J98-2005.xml | Citing Article:  N06-1043.xml | Citation Marker Offset:  ['167'] | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  ['167'] | Citation Text:  <S sid ="167" ssid = "22">This resulthas been firstly shown in (Chaudhuri et al., 1983) and later, with a different proof technique, in (Chi and Geman, 1998).</S> | Reference Offset:  ['16', '17'] | Reference Text:  <S sid ="16" ssid = "16">If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG&apos;s assign some mass to infinite trees?</S><S sid ="17" ssid = "17">We will show that in both cases the estimated probability is tight.</S> | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


