Citance Number: 1 | Reference Article:  P07-1123.txt | Citing Article:  D08-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To date, the most closely related work is Mihalcea et al (2007), which explores cross-lingual projections to generate subjectivity analysis resources in Romanian by leveraging on the tools and resources available in English.</S> | Reference Offset:  ['1','5'] | Reference Text:  <S sid = 1 ssid = >This paper explores methods for generating subjectivity analysis resources in a new language by leveraging on the tools and resources available in English.</S><S sid = 5 ssid = >In this paper, we investigate methods to automatically generate resources for subjectivity analysis for a new target language by leveraging on the resources and tools available for English, which in many cases took years of work to complete.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1123.txt | Citing Article:  D08-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition to the above methods for using English resources, the lexicon-based method investigated in Mihalcea et al (2007) can also use English resources by directly projecting English lexicons into Chinese lexicons.</S> | Reference Offset:  ['1','4'] | Reference Text:  <S sid = 1 ssid = >This paper explores methods for generating subjectivity analysis resources in a new language by leveraging on the tools and resources available in English.</S><S sid = 4 ssid = >Most of the research to date has focused on English, which is mainly explained by the availability of resources for subjectivity analysis, such as lexicons and manually labeled corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1123.txt | Citing Article:  P14-2063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mihalcea et al (2007) learn multilingual subjectivity via cross-lingual projections.</S> | Reference Offset:  ['0','28'] | Reference Text:  <S sid = 0 ssid = >Learning Multilingual Subjective Language via Cross-Lingual Projections</S><S sid = 28 ssid = >This motivates our exploration and use of cross-lingual lexicon translations and annotation projections.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1123.txt | Citing Article:  W11-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mihalcea et al (2007) propose a method to learn multilingual subjective language via cross-language projections.</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >Learning Multilingual Subjective Language via Cross-Lingual Projections</S><S sid = 11 ssid = >Note that, although we work with Romanian, the methods described are applicable to any other language, as in these experiments we (purposely) do not use any language-specific knowledge of the target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-1123.txt | Citing Article:  C10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['58','187'] | Reference Text:  <S sid = 58 ssid = >Table 1 shows examples of entries in the Romanian lexicon, together with their corresponding original English form.</S><S sid = 187 ssid = >A similar method can therefore be used to derive tools for subjectivity analysis in other languages.</S> | Discourse Facet:  NA | Annotator: Automatic


