Citance Number: 1 | Reference Article:  D09-1159.txt | Citing Article:  P14-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A previous work that used structured kernels in Sentiment Analysis is the approach of Wu et al (2009).</S> | Reference Offset:  ['9','165'] | Reference Text:  <S sid = 9 ssid = >Previous works on mining opinions can be divided into two directions: sentiment classification and sentiment related information extraction.</S><S sid = 165 ssid = >Amount of works have been done on sentimental classification in different levels (Zhang et al., 2009; Somasundaran et al., 2008; Pang et al., 2002; Dave et al., 2003; Kim and Hovy, 2004; Takamura et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D09-1159.txt | Citing Article:  P14-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The results showed by Wu et al (2009) suggest that tree kernels on dependency trees are a good approach but we also plan to employ string kernels on this task.</S> | Reference Offset:  ['106','181'] | Reference Text:  <S sid = 106 ssid = >Dependency tree kernels has been proposed by (Culotta and Sorensen, 2004).</S><S sid = 181 ssid = >Experimental results show that our approach improved the performances of the mining task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D09-1159.txt | Citing Article:  P11-1150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compared our aspect identification approach against two baselines: a) the method proposed by Hu and Liu (2004), which was based on the association rule mining, and b) the method proposed by Wu et al (2009), which was based on a dependency parser.</S> | Reference Offset:  ['106','146'] | Reference Text:  <S sid = 106 ssid = >Dependency tree kernels has been proposed by (Culotta and Sorensen, 2004).</S><S sid = 146 ssid = >However, in other domains, directly adjacent method is better than the learning based methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D09-1159.txt | Citing Article:  P11-1150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Afterwards, Wu et al (2009) utilized the dependency parser to extract the noun phrases and verb phrases from the reviews as the aspect candidates.</S> | Reference Offset:  ['66','88'] | Reference Text:  <S sid = 66 ssid = >A phrase dependency tree is defined as T = (V , E ), where V is the set of phrases, E is the dependency relations among the phrases in V representing by direct edges.</S><S sid = 88 ssid = >While prepositional phrases (PPs) and adjectival phrases (ADJPs) are excluded.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D09-1159.txt | Citing Article:  D11-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Phrase dependency grammars have recently been used by Wu et al (2009) for feature extraction for opinion mining.</S> | Reference Offset:  ['0','164'] | Reference Text:  <S sid = 0 ssid = >Phrase Dependency Parsing for Opinion Mining</S><S sid = 164 ssid = >Opinion mining has recently received considerable attention.</S> | Discourse Facet:  NA | Annotator: Automatic


