Citance Number: 1 | Reference Article:  P06-1109.txt | Citing Article:  P07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While Klein and Manning's approach may be described as an "all-substrings" approach to unsupervised parsing, an even richer model consists of an "all-subtrees" approach to unsupervised parsing, called U-DOP (Bod 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An All-Subtrees Approach To Unsupervised Parsing</S><S sid = NA ssid = NA>Bod (2006) shows that a further improvement on the WSJ10 can be achieved by an unsupervised generalization of the all-subtrees approach known as Data-Oriented Parsing (DOP).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1109.txt | Citing Article:  P07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bod (2006) reports 82.9% unlabeled f-score on the same WSJ10 as used by Klein and Manning (2002, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On Penn Wall Street Journal po-s-strings ≤ 10 (WSJ10), Klein and Manning (2002) report 71.1% unlabeled f-score with CCM.</S><S sid = NA ssid = NA>After computing the most probable parse trees, UML-DOP achieved an f-score of 82.9% which is a 20.5% error reduction compared to U-DOP's f-score of 78.5% on the same data (Bod 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1109.txt | Citing Article:  P07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While we do not achieve as high an f-score as the UML-DOP model in Bod (2006), we will show that U-DOP* can operate without subtree sampling, and that the model can be trained on corpora that are two orders of magnitude larger than in Bod (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>After computing the most probable parse trees, UML-DOP achieved an f-score of 82.9% which is a 20.5% error reduction compared to U-DOP's f-score of 78.5% on the same data (Bod 2006).</S><S sid = NA ssid = NA>U-DOP extends DOP1 to unsupervised parsing (Bod 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1109.txt | Citing Article:  P07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We will use the same all subtrees methodology as in Bod (2006), but now by applying the efficient and consistent DOP* based estimator.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will test both a relative frequency estimator for unsupervised DOP and a maximum likelihood estimator which is known to be statistically consistent.</S><S sid = NA ssid = NA>(Zollmann and Sima'an 2005 propose a different consistent estimator for DOP, which we cannot go into here).</S> | Discourse Facet:  NA | Annotator: Automatic


