Citance Number: 1 | Reference Article:  E03-1076.txt | Citing Article:  P03-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Here, we follow an approach introduced by Koehn and Knight (2003): First, we collect frequency statistics over words in our training corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then obtain statistics on the parts-ofspeech of words in the corpus.</S><S sid = NA ssid = NA>We introduced various methods to split compound words into parts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E03-1076.txt | Citing Article:  P13-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar approaches are proposed for other languages, such as German (Koehn and Knight, 2003) and UrduHindi (Lehal, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An evaluation of full sentences is expected to show similar results.</S><S sid = NA ssid = NA>Compounding of words is common in a number of languages (German, Dutch, Finnish, Greek, etc.).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E03-1076.txt | Citing Article:  P13-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Correctsplitting of compound nouns has a positive effect on MT (Koehn and Knight, 2003) and IR (Braschler and Ripplinger, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We do not want to break up a compound into parts that are prepositions or determiners, but only content words: nouns, adverbs, adjectives, and verbs.</S><S sid = NA ssid = NA>Compounded words are a challenge for NLP applications such as machine translation (MT).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E03-1076.txt | Citing Article:  P13-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2003) tackled the splitting problem in German, by using word statistics in a monolingual corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then obtain statistics on the parts-ofspeech of words in the corpus.</S><S sid = NA ssid = NA>We introduce methods to learn splitting rules from monolingual and parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E03-1076.txt | Citing Article:  W10-1715.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We split large words based on word frequencies to tackle the problem of word compounds in German (Koehn and Knight, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the count of words in the corpus, we pick the split S with the highest geometric mean of word frequencies of its parts pi (n being the number of parts): Since this metric is purely defined in terms of German word frequencies, there is not necessarily a relationship between the selected option and correspondence to English words.</S><S sid = NA ssid = NA>7.3 Translation Quality with Phrase Based Machine Translation Compound words violate the bias for one-to-one word correspondences of word based SMT systems.</S> | Discourse Facet:  NA | Annotator: Automatic


