Citance Number: 1 | Reference Article:  N06-1025.txt | Citing Article:  W11-1913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of predicate-argument structure has been explored by Ponzetto and Strube (2006b; 2006a).</S> | Reference Offset:  ['29','117'] | Reference Text:  <S sid = 29 ssid = >Kehler et al. (2004) observe no significant improvement due to predicate argument statistics.</S><S sid = 117 ssid = >Binarizing the features — i.e. do REi and REj have the same argument or predicate label with respect to their closest predicate?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-1025.txt | Citing Article:  W11-1913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This last conjecture is somewhat validated by Ponzetto and Strube (2006b), who reported that including predicate argument pairs as features improved the performance of a coreference resolver.</S> | Reference Offset:  ['29','117'] | Reference Text:  <S sid = 29 ssid = >Kehler et al. (2004) observe no significant improvement due to predicate argument statistics.</S><S sid = 117 ssid = >Binarizing the features — i.e. do REi and REj have the same argument or predicate label with respect to their closest predicate?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-1025.txt | Citing Article:  D09-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also, on WS-353, our hybrid sense-filtered variants and word-cos-ll obtained a correlation score higher than published results using WordNet-based measures (Jarmasz and Szpakowicz, 2003) (.33 to .35) and Wikipedia based methods (Ponzetto and Strube, 2006) (.19 to .48); and very close to the results obtained by thesaurus-based (Jarmasz and Szpakowicz, 2003) (.55) and LSA-based methods (Finkelstein et al, 2002) (.56).</S> | Reference Offset:  ['60','88'] | Reference Text:  <S sid = 60 ssid = >We enrich the semantic information available to the classifier by using semantic similarity measures based on the WordNet taxonomy (Pedersen et al., 2004).</S><S sid = 88 ssid = >Therefore, the Wikipedia-based measures are to be taken as semantic relatedness measures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-1025.txt | Citing Article:  P11-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, the use of related verbs is similar in spirit to Bean and Riloff's (2004) use of patterns for inducing contextual role knowledge, and the use of semantic roles is also discussed in Ponzetto and Strube (2006).</S> | Reference Offset:  ['9','85'] | Reference Text:  <S sid = 9 ssid = >We investigate the use of the WordNet and Wikipedia taxonomies for extracting semantic similarity and relatedness measures, as well as semantic parsing information in terms of semantic role labeling (Gildea & Jurafsky, 2002, SRL henceforth).</S><S sid = 85 ssid = >Additionally, we use the Wikipedia category graph.</S> | Discourse Facet:  NA | Annotator: Automatic


