Citance Number: 1 | Reference Article:  P04-1053.txt | Citing Article:  I05-2045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hasegawa, et al put forward an unsupervised approach for relation extraction from large text corpora (Hasegawa et al, 2004).</S> | Reference Offset:  ['48','189'] | Reference Text:  <S sid = 48 ssid = >We propose a new approach to relation discovery from large text corpora.</S><S sid = 189 ssid = >We proposed an unsupervised method for relation discovery from large corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1053.txt | Citing Article:  I05-2045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For Hasegawa's method (Hasegawa et al, 2004), we set the cluster number to be identical with the number of ground truth classes.</S> | Reference Offset:  ['120','147'] | Reference Text:  <S sid = 120 ssid = >We show the types of classes and the number in each class in Table 1.</S><S sid = 147 ssid = >We show the larger clusters for each domain, along with the ratio of the number of pairs bearing the major relation to the total number of pairs in each cluster, on the left in Table 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1053.txt | Citing Article:  D12-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['72','195'] | Reference Text:  <S sid = 72 ssid = >These words, which are stemmed, could be regarded as the context of the pair of named entities.</S><S sid = 195 ssid = >We would like to thank Dr. Yoshihiko Hayashi at Nippon Telegraph and Telephone Corporation, currently at Osaka University, who gave one of us (T.H.) an opportunity to conduct this research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1053.txt | Citing Article:  D12-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['72','195'] | Reference Text:  <S sid = 72 ssid = >These words, which are stemmed, could be regarded as the context of the pair of named entities.</S><S sid = 195 ssid = >We would like to thank Dr. Yoshihiko Hayashi at Nippon Telegraph and Telephone Corporation, currently at Osaka University, who gave one of us (T.H.) an opportunity to conduct this research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P04-1053.txt | Citing Article:  N12-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One approach for Open IE is based on clustering of entity pairs to produce relations, as introduced by Hasegawa et al (Hasegawa et al, 2004).</S> | Reference Offset:  ['49','66'] | Reference Text:  <S sid = 49 ssid = >Our approach is based on context based clustering of pairs of entities.</S><S sid = 66 ssid = >For example, Sekine proposed 150 types of named entities (Sekine et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


