Citance Number: 1 | Reference Article:  D07-1071.txt | Citing Article:  N12-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the dataset introduced in Zettlemoyer and Collins (2007) and automatically converted their lambda-calculus expressions to attribute-value pairs following the conventions adopted by Liang et al (2009).</S> | Reference Offset:  ['29','209'] | Reference Text:  <S sid = 29 ssid = >In this sense it is related to the algorithmof Liang et al (2006).</S><S sid = 209 ssid = >It is sim ple for us to map from lambda-calculus expressions to attribute-value entries of this form; for example, the expression to(x,Boston) would be mapped to destination = Boston.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1071.txt | Citing Article:  N12-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Zettlemoyer and Collins (2007), we trained on 4,962 scenarios and tested on ATIS NOV93 which contains 448 examples.</S> | Reference Offset:  ['69','202'] | Reference Text:  <S sid = 69 ssid = >2.4 Zettlemoyer and Collins 2005.</S><S sid = 202 ssid = >Fortest, we used the ATIS NOV93 test set which con tains 448 examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1071.txt | Citing Article:  W10-2903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to provide an initial starting point, we initialize the weight vector using a similar procedure to the one used in (Zettlemoyer and Collins, 2007) to set weights for three features and a bias term.</S> | Reference Offset:  ['69','231'] | Reference Text:  <S sid = 69 ssid = >2.4 Zettlemoyer and Collins 2005.</S><S sid = 231 ssid = >(in step 2 of the algorithm), their initial weight is set to some value ?.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1071.txt | Citing Article:  C10-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This can create problems for applications based on CCG, e.g. for the induction of stochastic CCGs from text annotated with logical forms (Zettlemoyerand Collins, 2007), where spreading probability mass over equivalent derivations should be avoided.</S> | Reference Offset:  ['21','57'] | Reference Text:  <S sid = 21 ssid = >However, a grammar based on a formalism such as CCG can be somewhat rigid, and this can cause problems when a system is faced with spontaneous, unedited natural language input, as is commonly seen in natural language interface applications.</S><S sid = 57 ssid = >2.3 Log-Linear CCGs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D07-1071.txt | Citing Article:  P13-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['96','260'] | Reference Text:  <S sid = 96 ssid = >These additional combinators are natural extensions of the forward appli cation, forward composition, and type-raising rulesseen in CCG.</S><S sid = 260 ssid = >Luke Zettlemoyer was funded by a Microsoft graduateresearch fellowship and Michael Collins was sup ported by the National Science Foundation under grants 0347631 and DMS-0434222.</S> | Discourse Facet:  NA | Annotator: Automatic


