Citance Number: 1 | Reference Article:  N04-1043.txt | Citing Article:  W04-2603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Miller et al (2004) describe a relevant technique for the latter.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, we also hoped that a third technique, active learning (Cohn et al., 1996; McCallum and Nigam, 1998), would be particularly effective when used in conjunction with hierarchical word clusters.</S><S sid = NA ssid = NA>We evaluate the technique for named-entity tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1043.txt | Citing Article:  W06-1615.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We chose to compare with ASO because it consistently outperforms cotraining (Blum and Mitchell, 1998) and clustering methods (Miller et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The work presented here extends a substantial body of previous work (Blum and Mitchell, 1998; Riloff and Jones, 1999; Lin et al., 2003; Boschee et al, 2002; Collins and Singer, 1999; Yarowsky, 1995) that all focuses on reducing annotation requirements through a combination of (a) seed examples, (b) large unannotated corpora, and (c) training example selection.</S><S sid = NA ssid = NA>Immediately, with only 5,000 words of training, the discriminative model significantly outperforms the HMM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1043.txt | Citing Article:  P08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By using prefixes of various lengths, we can produce clusterings of different granularities (Miller et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Clusters of various granularity are specified by prefixes of the bit strings.</S><S sid = NA ssid = NA>Similarly, alternative clustering techniques, perhaps based on different contextual features or different distance measures, could further improve performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1043.txt | Citing Article:  P08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Miller et al (2004), we use prefixes of the Brown cluster hierarchy to produce clusterings of varying granularity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Clusters of various granularity are specified by prefixes of the bit strings.</S><S sid = NA ssid = NA>Specifically, we picked up where Spatter left off, with the clustering algorithm of (Brown et al., 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-1043.txt | Citing Article:  P08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We found that it was nontrivial to select the proper prefix lengths for the dependency parsing task; in particular, the prefix lengths used in the Miller et al (2004) work (between 12 and 20 bits) performed poorly in dependency parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used 4 different prefix lengths: 8 bit, 12 bit, 16 bit, and 20 bit.</S><S sid = NA ssid = NA>Active learning is used to select training examples.</S> | Discourse Facet:  NA | Annotator: Automatic


