Citance Number: 1 | Reference Article:  W04-3239.txt | Citing Article:  P11-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They adopted the BACT learning algorithm (Kudo and Matsumoto, 2004) to effectively learn subtrees useful for both antecedent identification and zero pronoun detection.</S> | Reference Offset:  ['1','150'] | Reference Text:  <S sid = 1 ssid = >The focus of research in text classification has expanded from simple topic identification to more challenging tasks such as opinion/modality identification.</S><S sid = 150 ssid = >When we explicitly enumerate the subtrees used in tree kernel, the number of active (non-zero) features might amount to ten thousand or more.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3239.txt | Citing Article:  W10-2927.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The details of the algorithm and its efficient implementation are given in (Kudo and Matsumoto, 2004).</S> | Reference Offset:  ['27','28'] | Reference Text:  <S sid = 27 ssid = >First, we describe the details of our Boosting algorithm in which the subtree-based decision stumps are applied as weak learners.</S><S sid = 28 ssid = >Second, we show an implementation issue related to constructing an efficient learning algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3239.txt | Citing Article:  W08-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, this boosting-based rule learner learns a final hypothesis that is a subset of candidate rules (Kudo and Matsumoto, 2004).</S> | Reference Offset:  ['38','79'] | Reference Text:  <S sid = 38 ssid = >Decision stumps are simple classifiers, where the final decision is made by only a single hypothesis or feature.</S><S sid = 79 ssid = >The final hypothesis of SVMs with tree kernel can be given by Similarly, the final hypothesis of our boosting algorithm can be reformulated as a linear classifier: 1Strictly speaking, tree kernel uses the cardinality of each substructure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3239.txt | Citing Article:  P06-2080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this problem, we can apply a boosting technique presented in (Kudo and Matsumoto, 2004).</S> | Reference Offset:  ['32','50'] | Reference Text:  <S sid = 32 ssid = >The focused problem can be formalized as a general problem, called the tree classification problem.</S><S sid = 50 ssid = >This problem is formally defined as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


