Citance Number: 1 | Reference Article:  N06-2033.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Parser combination has been shown to be a powerful way to obtain very high accuracy in dependency parsing (Sagae and Lavie, 2006).</S> | Reference Offset:  ['0','85'] | Reference Text:  <S sid = 0 ssid = >Parser Combination By Reparsing</S><S sid = 85 ssid = >We have shown that in the case of dependencies, the reparsing approach successfully addresses the issue of constructing high-accuracy well-formed structures from the output of several parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-2033.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the second approach, combination of the three dependency parsers is done according to the maximum spanning tree combination scheme of Sagae and Lavie (2006), which results in high accuracy of surface dependencies.</S> | Reference Offset:  ['24','54'] | Reference Text:  <S sid = 24 ssid = >The maximum spanning tree maximizes the votes for dependencies given the constraint that the resulting structure must be a tree.</S><S sid = 54 ssid = >Six dependency parsers were used in our combination experiments, as described below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-2033.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To illustrate how this framework allows for improvements in the accuracy of dependency parsing to be used directly to improve the accuracy of HPSG parsing, we showed that by combining the results of different dependency parsers using the search-based parsing ensemble approach of (Sagae and Lavie, 2006), we obtain improved HPSG parsing accuracy as a result of the improved dependency accuracy.</S> | Reference Offset:  ['2','10'] | Reference Text:  <S sid = 2 ssid = >We apply this idea to dependency and constituent parsing, generating results that surpass state-of-theart accuracy levels for individual parsers.</S><S sid = 10 ssid = >Our approach produces results with accuracy above those of the best individual parsers on both dependency and constituent parsing of the standard WSJ test set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-2033.txt | Citing Article:  P14-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Constant et al (2013) proposed to combine pipeline and joint systems in a reparser (Sagae and Lavie, 2006), and ranked first at the Shared Task.</S> | Reference Offset:  ['22','62'] | Reference Text:  <S sid = 22 ssid = >Once this graph is created, we reparse the sentence using a dependency parsing algorithm such as, for example, one of the algorithms described by McDonald et al. (2005).</S><S sid = 62 ssid = >The large-margin parser described in (McDonald et al., 2005) was used with no alterations.</S> | Discourse Facet:  NA | Annotator: Automatic


