Citance Number: 1 | Reference Article:  P08-1064.txt | Citing Article:  D09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This method generates all possible tree fragments rooted by each node in the source parse tree or forest, and then matches all the generated tree fragments against the source parts (left hand side) of translation rules to extract the useful rules (Zhang et al, 2008a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Next, the source parse tree is detached into two source tree sequences (the left hand side of rules in Fig.</S><S sid = NA ssid = NA>First, the source sentence is parsed into a source parse tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1064.txt | Citing Article:  P11-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Works that apply the TTT model include Gildea (2003) and Zhang et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1 and 3 show how the proposed model works.</S><S sid = NA ssid = NA>For significance test, we used Zhang et al’s implementation (Zhang et al, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1064.txt | Citing Article:  P11-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These works mainly try to incorporate non-syntatic phrases into a syntax-based model: while Liu et al (2006) integrates bilingual phrase tables as separate TTS templates, Zhang et al (2008) uses an algorithm to convert leaves in a parse tree to phrases be fore rule extraction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Liu et al. (2006) propose a tree-to-string model.</S><S sid = NA ssid = NA>Unlike previous work, our solution neither requires larger applicability contexts (Galley et al., 2006), nor depends on pseudo nodes (Marcu et al., 2006) or auxiliary rules (Liu et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1064.txt | Citing Article:  P11-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, I will investigate settings that incorporate non syntactic phrases, using methods similar to Liu et al (2006) and Zhang et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Liu et al. (2006) propose a tree-to-string model.</S><S sid = NA ssid = NA>Unlike previous work, our solution neither requires larger applicability contexts (Galley et al., 2006), nor depends on pseudo nodes (Marcu et al., 2006) or auxiliary rules (Liu et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P08-1064.txt | Citing Article:  P11-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the TTS systems (one for each translation direction), the training set will be lexically aligned using GIZA++ and for the TTT system, its syntactic trees will be aligned using techniques similar to the ones proposed by Gildea (2003) and by Zhang et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We model it using our tree sequence-based translation rules.</S><S sid = NA ssid = NA>It automatically learns aligned tree sequence pairs with mapping probabilities from word-aligned biparsed parallel texts.</S> | Discourse Facet:  NA | Annotator: Automatic


