Citance Number: 1 | Reference Article:  P07-1007.txt | Citing Article:  C08-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chan and Ng (2007) performed supervised domain adaptation on a manually selected subset of 21 nouns from the DSO corpus.</S> | Reference Offset:  ['46','122'] | Reference Text:  <S sid = 46 ssid = >The row 21 nouns in Table 1 shows some information about these 21 nouns.</S><S sid = 122 ssid = >Out of the 21 nouns, 12 nouns have the same predominant sense in both BC and WSJ.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1007.txt | Citing Article:  W09-2420.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','169'] | Reference Text:  <S sid = 53 ssid = >These knowledge sources were effectively used to build a state-of-the-art WSD program in one of our prior work (Lee and Ng, 2002).</S><S sid = 169 ssid = >SMF-20041076).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1007.txt | Citing Article:  P09-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In building training dataset by active learning, we use uncertainty sampling like (Chan and Ng, 2007) (Figure 1 line 30-31).</S> | Reference Offset:  ['57','113'] | Reference Text:  <S sid = 57 ssid = >With active learning (Lewis and Gale, 1994), we use uncertainty sampling as shown in Figure 1.</S><S sid = 113 ssid = >With this new set of training examples, we perform adaptation using active learning and obtain the a-truePrior curve in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1007.txt | Citing Article:  N09-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instance weighting (Jiang and Zhai, 2007) and active learning (Chan and Ng, 2007) are also employed in domain adaptation.</S> | Reference Offset:  ['0','161'] | Reference Text:  <S sid = 0 ssid = >Domain Adaptation with Active Learning for Word Sense Disambiguation</S><S sid = 161 ssid = >(2006) used active learning for 5 verbs using coarse-grained evaluation, and H. T. Dang (2004) employed active learning for another set of 5 verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-1007.txt | Citing Article:  C10-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >AL seems to improve results in a WSD task with coarse-grained sense distinctions (Chan and Ng, 2007), but the results of (Dang, 2004) raise doubts as to whether AL can successfully be applied to a fine-grained annotation scheme, where Inter Annotator Agreement (IAA) is low and thus the consistency of the human annotations decreases.</S> | Reference Offset:  ['16','161'] | Reference Text:  <S sid = 16 ssid = >A similar work is the recent research by Chen et al. (2006), where active learning was used successfully to reduce the annotation effort for WSD of 5 English verbs using coarse-grained evaluation.</S><S sid = 161 ssid = >(2006) used active learning for 5 verbs using coarse-grained evaluation, and H. T. Dang (2004) employed active learning for another set of 5 verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


