Citance Number: 1 | Reference Article:  D08-1011.txt | Citing Article:  P09-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Translation Edit Rate (TER, Snover et al (2006)) based alignment proposed in Sim et al (2007) is often taken as the baseline, and a couple of other approaches, such as the Indirect Hidden Markov Model (IHMM, He et al (2008)) and the ITG-based alignment (Karakos et al. (2008)), were recently proposed with better results reported.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Karakos, et al. (2008) proposed an ITGbased method for hypothesis alignment, Rosti et al.</S><S sid = NA ssid = NA>Recently, confusion-network-based system combination algorithms have been developed to combine outputs of multiple machine translation (MT) systems to form a consensus output (Bangalore, et al. 2001, Matusov et al., 2006, Rosti et al., 2007, Sim et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1011.txt | Citing Article:  P09-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our incremental alignment approaches adopt the same heuristics for alignment normalization stated in He et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Karakos, et al. (2008) proposed an ITGbased method for hypothesis alignment, Rosti et al.</S><S sid = NA ssid = NA>(2008) proposed an incremental alignment method, and a heuristic-based matching algorithm was proposed by Jayaraman and Lavie (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1011.txt | Citing Article:  P09-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The various parameters in the IHMM model are set as the optimal values found in He et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Karakos, et al. (2008) proposed an ITGbased method for hypothesis alignment, Rosti et al.</S><S sid = NA ssid = NA>In the IHMM-based method, the smoothing factor for surface similarity model is set to ρ = 3, the interpolation factor of the overall similarity model is set to α = 0.3, and the controlling factor of the distance-based distortion parameters is set to K=2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1011.txt | Citing Article:  P09-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The comparison between the two pair-wise alignment methods shows that IHMM gives a 0.7 BLEU point gain over TER, which is a bit smaller than the difference reported in He et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It shows that the IHMMbased method is still about 1 BLEU point better than the TER-based method.</S><S sid = NA ssid = NA>There have been other hypothesis alignment methods.</S> | Discourse Facet:  NA | Annotator: Automatic


